model,n_oof_predictions,min,p05,median,p95,max,sd
Penalized logistic regression,5610,0.02390438247011948,0.024667931688804545,0.032332563510392626,0.04361370716510904,0.0442477876106195,0.005476283106358332
Random forest,5610,0,0,0,0.142,0.596,0.07923237704059427
Gradient boosting,5610,4.673914572057569e-4,0.0033969939068789756,0.015875925318822204,0.11110837811395069,0.8393881735804982,0.06542984244607054
