model,threshold,sensitivity,specificity,precision,f1,balanced_accuracy,predicted_positive_n,predicted_positive_rate,true_positive,false_positive,true_negative,false_negative
Random forest,0.095,0.052941176470588235,0.935110294117647,0.024861878453038673,0.03383458646616541,0.49402573529411764,362,0.06452762923351159,9,353,5087,161
Random forest,0.1,0.052941176470588235,0.9376838235294118,0.02586206896551724,0.03474903474903475,0.49531250000000004,348,0.06203208556149733,9,339,5101,161
Random forest,0.125,0.052941176470588235,0.9455882352941176,0.029508196721311476,0.037894736842105266,0.49926470588235294,305,0.054367201426024955,9,296,5144,161
Random forest,0.15,0.052941176470588235,0.9540441176470589,0.03474903474903475,0.04195804195804196,0.5034926470588236,259,0.04616755793226381,9,250,5190,161
Random forest,0.2,0.03529411764705882,0.9608455882352941,0.0273972602739726,0.030848329048843187,0.49806985294117645,219,0.039037433155080216,6,213,5227,164
Random forest,0.25,0,0.9685661764705882,0,NA,0.4842830882352941,171,0.03048128342245989,0,171,5269,170
Random forest,0.3,0,0.9704044117647059,0,NA,0.48520220588235297,161,0.028698752228163992,0,161,5279,170
Random forest,0.4,0,0.9759191176470589,0,NA,0.4879595588235294,131,0.02335115864527629,0,131,5309,170
Random forest,0.5,0,0.997610294117647,0,NA,0.4988051470588235,13,0.0023172905525846704,0,13,5427,170
Gradient boosting,0.005,0.8588235294117647,0.10753676470588236,0.029194161167766446,0.05646876812995552,0.4831801470588235,5001,0.8914438502673797,146,4855,585,24
Gradient boosting,0.01,0.6764705882352942,0.33308823529411763,0.030724018167245525,0.058778430871454124,0.5047794117647059,3743,0.6672014260249555,115,3628,1812,55
Gradient boosting,0.015,0.48823529411764705,0.4759191176470588,0.02828902522154056,0.053479381443298966,0.4820772058823529,2934,0.5229946524064171,83,2851,2589,87
Gradient boosting,0.02,0.29411764705882354,0.5849264705882353,0.021663778162911613,0.04035512510088782,0.43952205882352946,2308,0.4114081996434938,50,2258,3182,120
Gradient boosting,0.025,0.18235294117647058,0.6602941176470588,0.016498137307078234,0.030258662762323085,0.4213235294117647,1879,0.33493761140819966,31,1848,3592,139
Gradient boosting,0.030000000000000002,0.14705882352941177,0.7152573529411764,0.01588310038119441,0.028669724770642203,0.4311580882352941,1574,0.2805704099821747,25,1549,3891,145
Gradient boosting,0.034999999999999996,0.11176470588235295,0.7628676470588235,0.014514896867838044,0.025693035835023664,0.43731617647058824,1309,0.23333333333333334,19,1290,4150,151
Gradient boosting,0.04,0.1,0.7867647058823529,0.014443500424808835,0.02524127691165553,0.44338235294117645,1177,0.20980392156862746,17,1160,4280,153
Gradient boosting,0.045,0.08823529411764706,0.8205882352941176,0.015136226034308779,0.025839793281653745,0.45441176470588235,991,0.1766488413547237,15,976,4464,155
Gradient boosting,0.049999999999999996,0.058823529411764705,0.8404411764705882,0.011389521640091117,0.019083969465648856,0.4496323529411765,878,0.15650623885918002,10,868,4572,160
Gradient boosting,0.055,0.052941176470588235,0.8509191176470589,0.01097560975609756,0.01818181818181818,0.45193014705882356,820,0.14616755793226383,9,811,4629,161
