key_id,stadium_id,stadium_name,city_name,country_name,stadium_capacity,stadium_wikipedia_link,city_wikipedia_link,page_title,canonical_title,article_iri,wikidata_id,wikidata_name,coords,capacity_wd,opened_year,demolished_year,tenants
61,S-061,Stade Victor Boucquey,Lille,France,15000,https://en.wikipedia.org/wiki/Stade_Henri-Jooris,https://en.wikipedia.org/wiki/Lille,Stade Henri-Jooris,Stade Henri-Jooris,https://en.wikipedia.org/wiki/Stade_Henri-Jooris,http://www.wikidata.org/entity/Q901844,Stade Victor Boucquey,Point(3.036111 50.6375),15000,1902,1975,Lille OSC; Olympique Lillois
62,S-062,Parc Olympique Lyonnais,Lyon,France,58000,https://en.wikipedia.org/wiki/Parc_Olympique_Lyonnais,https://en.wikipedia.org/wiki/Lyon,Parc Olympique Lyonnais,Parc Olympique Lyonnais,https://en.wikipedia.org/wiki/Parc_Olympique_Lyonnais,http://www.wikidata.org/entity/Q8507,Parc Olympique Lyonnais,Point(4.982131 45.765224),59286,2016,NA,Olympique Lyonnais
63,S-063,Stade de Gerland,Lyon,France,44000,https://en.wikipedia.org/wiki/Stade_de_Gerland,https://en.wikipedia.org/wiki/Lyon,Stade de Gerland,Stade de Gerland,https://en.wikipedia.org/wiki/Stade_de_Gerland,http://www.wikidata.org/entity/Q1980,Stade de Gerland,Point(4.83225 45.72377),35029,1926,NA,Lyon OU
64,S-064,Stade Vélodrome,Marseille,France,60000,https://en.wikipedia.org/wiki/Stade_Vélodrome,https://en.wikipedia.org/wiki/Marseille,Stade Vélodrome,Stade Vélodrome,https://en.wikipedia.org/wiki/Stade_V%C3%A9lodrome,http://www.wikidata.org/entity/Q202150,Stade Vélodrome,Point(5.394907 43.269241),67394,1937,NA,Olympique de Marseille
65,S-065,Stade de la Mosson,Montpellier,France,34000,https://en.wikipedia.org/wiki/Stade_de_la_Mosson,https://en.wikipedia.org/wiki/Montpellier,Stade de la Mosson,Stade de la Mosson,https://en.wikipedia.org/wiki/Stade_de_la_Mosson,http://www.wikidata.org/entity/Q815833,Stade de la Mosson,Point(3.81279 43.62061),32900,1972,NA,Montpellier Hérault Sport Club
66,S-066,Stade de la Beaujoire,Nantes,France,40000,https://en.wikipedia.org/wiki/Stade_de_la_Beaujoire,https://en.wikipedia.org/wiki/Nantes,Stade de la Beaujoire,Stade de la Beaujoire,https://en.wikipedia.org/wiki/Stade_de_la_Beaujoire,http://www.wikidata.org/entity/Q1053455,Stade de la Beaujoire,Point(-1.52466 47.2561),35318,1984,NA,FC Nantes
67,S-067,Allianz Riviera,Nice,France,35000,https://en.wikipedia.org/wiki/Allianz_Riviera,https://en.wikipedia.org/wiki/Nice,Allianz Riviera,Allianz Riviera,https://en.wikipedia.org/wiki/Allianz_Riviera,http://www.wikidata.org/entity/Q127372,Allianz Riviera,Point(7.19262 43.70513),36178,2013,NA,OGC Nice; OGC Nice (Women)
68,S-068,Parc des Princes,Paris,France,49000,https://en.wikipedia.org/wiki/Parc_des_Princes,https://en.wikipedia.org/wiki/Paris,Parc des Princes,Parc des Princes,https://en.wikipedia.org/wiki/Parc_des_Princes,http://www.wikidata.org/entity/Q193431,Parc des Princes,Point(2.25305 48.84145),47930,1972,NA,Paris Saint-Germain FC
69,S-069,Stade Olympique de Colombes,Paris,France,60000,https://en.wikipedia.org/wiki/Stade_Olympique_Yves-du-Manoir,https://en.wikipedia.org/wiki/Paris,Stade Olympique Yves-du-Manoir,Stade Yves-du-Manoir,https://en.wikipedia.org/wiki/Stade_Yves-du-Manoir,http://www.wikidata.org/entity/Q754502,Yves du Manoir Stadium,Point(2.24961 48.93145),14000,1907,NA,Racing 92; Racing Club de France
70,S-070,Stade Auguste-Delaune,Reims,France,21000,https://en.wikipedia.org/wiki/Stade_Auguste-Delaune,https://en.wikipedia.org/wiki/Reims,Stade Auguste-Delaune,Stade Auguste-Delaune,https://en.wikipedia.org/wiki/Stade_Auguste-Delaune,http://www.wikidata.org/entity/Q530735,Stade Auguste Delaune,Point(4.02478 49.24716),21684,1935,NA,Stade de Reims
71,S-071,Vélodrome Municipal,Reims,France,22000,https://en.wikipedia.org/wiki/Stade_Auguste_Delaune,https://en.wikipedia.org/wiki/Reims,Stade Auguste Delaune,Stade Auguste-Delaune,https://en.wikipedia.org/wiki/Stade_Auguste-Delaune,http://www.wikidata.org/entity/Q530735,Stade Auguste Delaune,Point(4.02478 49.24716),21684,1935,NA,Stade de Reims
72,S-072,Roazhon Park,Rennes,France,29000,https://en.wikipedia.org/wiki/Roazhon_Park,https://en.wikipedia.org/wiki/Rennes,Roazhon Park,Roazhon Park,https://en.wikipedia.org/wiki/Roazhon_Park,http://www.wikidata.org/entity/Q1121760,Roazhon Park,Point(-1.71282 48.10743),31127,1912,NA,Stade Rennais F.C.
73,S-073,Stade de France,Saint-Denis,France,80000,https://en.wikipedia.org/wiki/Stade_de_France,"https://en.wikipedia.org/wiki/Saint-Denis,_Seine-Saint-Denis",Stade de France,Stade de France,https://en.wikipedia.org/wiki/Stade_de_France,http://www.wikidata.org/entity/Q13205,Stade de France,Point(2.36 48.924444444),81338,1998,NA,France men's national association football team; France national rugby union team; Team Vitality
74,S-074,Stade Geoffroy-Guichard,Saint-Étienne,France,36000,https://en.wikipedia.org/wiki/Stade_Geoffroy-Guichard,https://en.wikipedia.org/wiki/Saint-Étienne,Stade Geoffroy-Guichard,Stade Geoffroy-Guichard,https://en.wikipedia.org/wiki/Stade_Geoffroy-Guichard,http://www.wikidata.org/entity/Q861000,Stade Geoffroy-Guichard,Point(4.390171 45.460749),41965,1931,NA,AS Saint-Étienne
75,S-075,Stade de la Meinau,Strasbourg,France,30000,https://en.wikipedia.org/wiki/Stade_de_la_Meinau,https://en.wikipedia.org/wiki/Strasbourg,Stade de la Meinau,Stade de la Meinau,https://en.wikipedia.org/wiki/Stade_de_la_Meinau,http://www.wikidata.org/entity/Q374883,Stade de la Meinau,Point(7.75738 48.55942),26109,1914,NA,RC Strasbourg Alsace
76,S-076,Stade de Toulouse,Toulouse,France,37000,https://en.wikipedia.org/wiki/Stadium_Municipal,https://en.wikipedia.org/wiki/Toulouse,Stadium Municipal,Stadium de Toulouse,https://en.wikipedia.org/wiki/Stadium_de_Toulouse,http://www.wikidata.org/entity/Q738044,Stadium Municipal,Point(1.434055 43.583296),33150,1949,NA,Toulouse FC
77,S-077,Stade du T.O.E.C.,Toulouse,France,15000,https://en.wikipedia.org/wiki/Stade_Chapou,https://en.wikipedia.org/wiki/Toulouse,Stade Chapou,Stade Chapou,https://en.wikipedia.org/wiki/Stade_Chapou,http://www.wikidata.org/entity/Q64688028,Stade Chapou,Point(1.419166666 43.608611111),15000,NA,NA,
78,S-078,Stade du Hainaut,Valenciennes,France,23000,https://en.wikipedia.org/wiki/Stade_du_Hainaut,https://en.wikipedia.org/wiki/Valenciennes,Stade du Hainaut,Stade du Hainaut,https://en.wikipedia.org/wiki/Stade_du_Hainaut,http://www.wikidata.org/entity/Q2299919,Stade du Hainaut,Point(3.53178 50.34851),25000,2011,NA,Valenciennes F.C.
79,S-079,Impuls Arena,Augsburg,Germany,25000,https://en.wikipedia.org/wiki/Impuls_Arena,https://en.wikipedia.org/wiki/Augsburg,Impuls Arena,Augsburg Arena,https://en.wikipedia.org/wiki/Augsburg_Arena,http://www.wikidata.org/entity/Q167418,WWK Arena,Point(10.8859261 48.3233205),30660,2009,NA,FC Augsburg
80,S-080,Olympiastadion,Berlin,Germany,86000,https://en.wikipedia.org/wiki/Olympiastadion_(Berlin),https://en.wikipedia.org/wiki/Berlin,Olympiastadion (Berlin),Olympiastadion (Berlin),https://en.wikipedia.org/wiki/Olympiastadion_(Berlin),http://www.wikidata.org/entity/Q151374,Berlin Olympic Stadium,Point(13.239444444 52.514722222),74475,1936,NA,Germany men's national association football team; Hertha BSC
81,S-081,Ruhrstadion,Bochum,Germany,21000,https://en.wikipedia.org/wiki/Ruhrstadion,https://en.wikipedia.org/wiki/Bochum,Ruhrstadion,Ruhrstadion,https://en.wikipedia.org/wiki/Ruhrstadion,http://www.wikidata.org/entity/Q373769,Ruhrstadion,Point(7.236489 51.489944),29299,1911,NA,VfL Bochum
82,S-082,RheinEnergieStadion,Cologne,Germany,45000,https://en.wikipedia.org/wiki/RheinEnergieStadion,https://en.wikipedia.org/wiki/Cologne,RheinEnergieStadion,RheinEnergieStadion,https://en.wikipedia.org/wiki/RheinEnergieStadion,http://www.wikidata.org/entity/Q151893,RheinEnergie Stadion,Point(6.875 50.933611),46195,1923,NA,1. FC Köln
83,S-083,Westfalenstadion,Dortmund,Germany,65000,https://en.wikipedia.org/wiki/Westfalenstadion,https://en.wikipedia.org/wiki/Dortmund,Westfalenstadion,Westfalenstadion,https://en.wikipedia.org/wiki/Westfalenstadion,http://www.wikidata.org/entity/Q150928,Westfalenstadion,Point(7.451667 51.4925),81359,1974,NA,Borussia Dortmund
84,S-084,Rudolf-Harbig-Stadion,Dresden,Germany,26000,https://en.wikipedia.org/wiki/Rudolf-Harbig-Stadion,https://en.wikipedia.org/wiki/Dresden,Rudolf-Harbig-Stadion,Rudolf-Harbig-Stadion,https://en.wikipedia.org/wiki/Rudolf-Harbig-Stadion,http://www.wikidata.org/entity/Q170154,Rudolf-Harbig-Stadion,Point(13.747778 51.040278),32085,1923,NA,Dynamo Dresden
85,S-085,Rheinstadion,Düsseldorf,Germany,70000,https://en.wikipedia.org/wiki/Rheinstadion,https://en.wikipedia.org/wiki/Düsseldorf,Rheinstadion,Rheinstadion,https://en.wikipedia.org/wiki/Rheinstadion,http://www.wikidata.org/entity/Q699555,Rheinstadion,Point(6.734167 51.260278),42500,1925,2002,Fortuna Düsseldorf
86,S-086,Waldstadion,Frankfurt,Germany,62000,https://en.wikipedia.org/wiki/Waldstadion_(Frankfurt),https://en.wikipedia.org/wiki/Frankfurt,Waldstadion (Frankfurt),Waldstadion (Frankfurt),https://en.wikipedia.org/wiki/Waldstadion_(Frankfurt),http://www.wikidata.org/entity/Q157273,Waldstadion,Point(8.645278 50.068611),51500,1925,NA,Eintracht Frankfurt
87,S-087,Arena AufShalke,Gelsenkirchen,Germany,52000,https://en.wikipedia.org/wiki/Arena_AufSchalke,https://en.wikipedia.org/wiki/Gelsenkirchen,Arena AufSchalke,Arena AufSchalke,https://en.wikipedia.org/wiki/Arena_AufSchalke,http://www.wikidata.org/entity/Q150961,Arena AufSchalke,Point(7.067588888 51.554502777),62271,2001,NA,Schalke 04
88,S-088,Parkstadion,Gelsenkirchen,Germany,72000,https://en.wikipedia.org/wiki/Parkstadion,https://en.wikipedia.org/wiki/Gelsenkirchen,Parkstadion,Parkstadion,https://en.wikipedia.org/wiki/Parkstadion,http://www.wikidata.org/entity/Q700462,Parkstadion,Point(7.067835 51.559368),62008,1973,NA,Schalke 04
89,S-089,Volksparkstadion,Hamburg,Germany,61000,https://en.wikipedia.org/wiki/Volksparkstadion,https://en.wikipedia.org/wiki/Hamburg,Volksparkstadion,Volksparkstadion,https://en.wikipedia.org/wiki/Volksparkstadion,http://www.wikidata.org/entity/Q150933,Volksparkstadion,Point(9.898611 53.586944),57000,1953,NA,Hamburger SV
90,S-090,Niedersachsenstadion,Hanover,Germany,60000,https://en.wikipedia.org/wiki/Niedersachsenstadion,https://en.wikipedia.org/wiki/Hanover,Niedersachsenstadion,Niedersachsenstadion,https://en.wikipedia.org/wiki/Niedersachsenstadion,http://www.wikidata.org/entity/Q152633,Niedersachsenstadion,Point(9.731111 52.36),49000,1954,NA,Hannover 96
91,S-091,Fritz-Walter-Stadion,Kaiserslautern,Germany,46000,https://en.wikipedia.org/wiki/Fritz-Walter-Stadion,https://en.wikipedia.org/wiki/Kaiserslautern,Fritz-Walter-Stadion,Fritz-Walter-Stadion,https://en.wikipedia.org/wiki/Fritz-Walter-Stadion,http://www.wikidata.org/entity/Q154298,Fritz Walter Stadium,Point(7.775833 49.434444),49780,1920,NA,1. FC Kaiserslautern
92,S-092,Zentralstadion,Leipzig,Germany,43000,https://en.wikipedia.org/wiki/Red_Bull_Arena_(Leipzig),https://en.wikipedia.org/wiki/Leipzig,Red Bull Arena (Leipzig),Red Bull Arena (Leipzig),https://en.wikipedia.org/wiki/Red_Bull_Arena_(Leipzig),http://www.wikidata.org/entity/Q210466,Red Bull Arena,Point(12.348056 51.345833),42000,1956,NA,RB Leipzig
93,S-093,BayArena,Leverkusen,Germany,30000,https://en.wikipedia.org/wiki/BayArena,https://en.wikipedia.org/wiki/Leverkusen,BayArena,BayArena,https://en.wikipedia.org/wiki/BayArena,http://www.wikidata.org/entity/Q156630,BayArena,Point(7.002205555 51.038255555),30210,1932,NA,Bayer 04 Leverkusen
94,S-094,Borussia-Park,Mönchengladbach,Germany,46000,https://en.wikipedia.org/wiki/Borussia-Park,https://en.wikipedia.org/wiki/Mönchengladbach,Borussia-Park,Borussia-Park,https://en.wikipedia.org/wiki/Borussia-Park,http://www.wikidata.org/entity/Q154074,ista-Borussia-Park,Point(6.385463888 51.174583333),59749,2004,NA,Borussia Mönchengladbach
95,S-095,Allianz Arena,Munich,Germany,66000,https://en.wikipedia.org/wiki/Allianz_Arena,https://en.wikipedia.org/wiki/Munich,Allianz Arena,Allianz Arena,https://en.wikipedia.org/wiki/Allianz_Arena,http://www.wikidata.org/entity/Q127429,Allianz Arena,Point(11.624752777 48.218775),75024,2005,NA,FC Bayern Munich
96,S-096,Olympiastadion,Munich,Germany,78000,https://en.wikipedia.org/wiki/Olympiastadion_(Munich),https://en.wikipedia.org/wiki/Munich,Olympiastadion (Munich),Olympiastadion (Munich),https://en.wikipedia.org/wiki/Olympiastadion_(Munich),http://www.wikidata.org/entity/Q131610,Munich Olympic Stadium,Point(11.546666666 48.173055555),63118,1972,NA,1972 Summer Olympics; FC Bayern Munich; TSV 1860 München
97,S-097,Frankenstadion,Nuremberg,Germany,41000,https://en.wikipedia.org/wiki/Nuremberg,https://en.wikipedia.org/wiki/Nuremberg,Nuremberg,Nuremberg,https://en.wikipedia.org/wiki/Nuremberg,http://www.wikidata.org/entity/Q2090,Nuremberg,Point(11.0775 49.453888888),NA,NA,NA,
98,S-098,Rhein-Neckar-Arena,Sinsheim,Germany,30000,https://en.wikipedia.org/wiki/Rhein-Neckar-Arena,https://en.wikipedia.org/wiki/Sinsheim,Rhein-Neckar-Arena,Rhein-Neckar-Arena,https://en.wikipedia.org/wiki/Rhein-Neckar-Arena,http://www.wikidata.org/entity/Q129870,SNP Arena,Point(8.888278 49.239),30150,2009,NA,TSG 1899 Hoffenheim
99,S-099,Neckarstadion,Stuttgart,Germany,72000,https://en.wikipedia.org/wiki/Mercedes-Benz_Arena_(Stuttgart),https://en.wikipedia.org/wiki/Stuttgart,Mercedes-Benz Arena (Stuttgart),MHPArena,https://en.wikipedia.org/wiki/MHPArena,http://www.wikidata.org/entity/Q152349,MHPArena,Point(9.231944 48.792222),60058,1933,NA,VfB Stuttgart
100,S-100,Volkswagen Arena,Wolfsburg,Germany,26000,https://en.wikipedia.org/wiki/Volkswagen_Arena,https://en.wikipedia.org/wiki/Wolfsburg,Volkswagen Arena,Volkswagen Arena,https://en.wikipedia.org/wiki/Volkswagen_Arena,http://www.wikidata.org/entity/Q155603,Volkswagen Arena,Point(10.803889 52.431944),30000,2002,NA,VfL Wolfsburg
101,S-101,Stadio San Nicola,Bari,Italy,51000,https://en.wikipedia.org/wiki/Stadio_San_Nicola,https://en.wikipedia.org/wiki/Bari,Stadio San Nicola,Stadio San Nicola,https://en.wikipedia.org/wiki/Stadio_San_Nicola,http://www.wikidata.org/entity/Q328698,Stadio San Nicola,Point(16.840072 41.084736),58270,1990,NA,SSC Bari
102,S-102,Stadio Renato Dall'Ara,Bologna,Italy,50000,https://en.wikipedia.org/wiki/Stadio_Renato_Dall%27Ara,https://en.wikipedia.org/wiki/Bologna,Stadio Renato Dall'Ara,Stadio Renato Dall'Ara,https://en.wikipedia.org/wiki/Stadio_Renato_Dall%27Ara,http://www.wikidata.org/entity/Q757182,Stadio Renato Dall'Ara,Point(11.3098 44.4922),36462,1927,NA,Bologna F.C. 1909
103,S-103,Stadio Sant'Elia,Cagliari,Italy,35000,https://en.wikipedia.org/wiki/Stadio_Sant%27Elia,https://en.wikipedia.org/wiki/Cagliari,Stadio Sant'Elia,Stadio Sant'Elia,https://en.wikipedia.org/wiki/Stadio_Sant%27Elia,http://www.wikidata.org/entity/Q754200,Sant'Elia stadium,Point(9.134805555 39.199416666),16074,1970,2015,Cagliari Calcio
104,S-104,Stadio Comunale,Florence,Italy,39000,https://en.wikipedia.org/wiki/Stadio_Artemio_Franchi,https://en.wikipedia.org/wiki/Florence,Stadio Artemio Franchi,Stadio Artemio Franchi,https://en.wikipedia.org/wiki/Stadio_Artemio_Franchi,http://www.wikidata.org/entity/Q270474,Stadio Artemio Franchi,Point(11.282258 43.780822),43325,1931,NA,ACF Fiorentina
105,S-105,Stadio Giovanni Berta,Florence,Italy,47000,https://en.wikipedia.org/wiki/Stadio_Artemio_Franchi_(Florence),https://en.wikipedia.org/wiki/Florence,Stadio Artemio Franchi (Florence),Stadio Artemio Franchi,https://en.wikipedia.org/wiki/Stadio_Artemio_Franchi,http://www.wikidata.org/entity/Q270474,Stadio Artemio Franchi,Point(11.282258 43.780822),43325,1931,NA,ACF Fiorentina
106,S-106,Stadio Luigi Ferraris,Genoa,Italy,37000,https://en.wikipedia.org/wiki/Stadio_Luigi_Ferraris,https://en.wikipedia.org/wiki/Genoa,Stadio Luigi Ferraris,Stadio Luigi Ferraris,https://en.wikipedia.org/wiki/Stadio_Luigi_Ferraris,http://www.wikidata.org/entity/Q271568,Stadio Luigi Ferraris,Point(8.952428 44.416431),33205,1911,NA,U.C. Sampdoria; Genoa CFC; 2021–22 U.C. Sampdoria season
107,S-107,San Siro,Milan,Italy,75000,https://en.wikipedia.org/wiki/San_Siro,https://en.wikipedia.org/wiki/Milan,San Siro,San Siro,https://en.wikipedia.org/wiki/San_Siro,http://www.wikidata.org/entity/Q133566,Giuseppe Meazza Stadium,Point(9.123888888 45.478055555),75817,1926,NA,Inter Milan; AC Milan
108,S-108,Stadio Giorgio Ascarelli,Naples,Italy,40000,https://en.wikipedia.org/wiki/Stadio_Giorgio_Ascarelli,https://en.wikipedia.org/wiki/Naples,Stadio Giorgio Ascarelli,Stadio Partenopeo,https://en.wikipedia.org/wiki/Stadio_Partenopeo,http://www.wikidata.org/entity/Q1010594,Stadio Partenopeo,Point(14.293333 40.859722),40000,1930,1942,SSC Napoli
109,S-109,Stadio San Paolo,Naples,Italy,60000,https://en.wikipedia.org/wiki/Stadio_San_Paolo,https://en.wikipedia.org/wiki/Naples,Stadio San Paolo,Stadio Diego Armando Maradona,https://en.wikipedia.org/wiki/Stadio_Diego_Armando_Maradona,http://www.wikidata.org/entity/Q82709,Stadio Diego Armando Maradona,Point(14.193008 40.827967),54726,1959,NA,SSC Napoli
110,S-110,Stadio La Favorita,Palermo,Italy,33000,https://en.wikipedia.org/wiki/Stadio_Renzo_Barbera,https://en.wikipedia.org/wiki/Palermo,Stadio Renzo Barbera,Stadio Renzo Barbera,https://en.wikipedia.org/wiki/Stadio_Renzo_Barbera,http://www.wikidata.org/entity/Q28500,Stadio Renzo Barbera,Point(13.342275 38.152767),36365,1932,NA,Palermo F.C.
111,S-111,Stadio Nazionale PNF,Rome,Italy,47000,https://en.wikipedia.org/wiki/Stadio_Nazionale_PNF,https://en.wikipedia.org/wiki/Rome,Stadio Nazionale PNF,Stadio Nazionale PNF,https://en.wikipedia.org/wiki/Stadio_Nazionale_PNF,http://www.wikidata.org/entity/Q642958,Stadio Nazionale,Point(12.472222 41.927222),47300,1911,1957,SS Lazio; AS Roma; Italy national rugby union team
112,S-112,Stadio Olimpico,Rome,Italy,74000,https://en.wikipedia.org/wiki/Stadio_Olimpico,https://en.wikipedia.org/wiki/Rome,Stadio Olimpico,Stadio Olimpico,https://en.wikipedia.org/wiki/Stadio_Olimpico,http://www.wikidata.org/entity/Q159884,Stadio Olimpico,Point(12.454722222 41.933888888),70634,1953,NA,SS Lazio; AS Roma; Italian Rugby Federation
113,S-113,Stadio Littorio,Trieste,Italy,8000,https://en.wikipedia.org/wiki/Stadio_Giuseppe_Grezar,https://en.wikipedia.org/wiki/Trieste,Stadio Giuseppe Grezar,Stadio Giuseppe Grezar,https://en.wikipedia.org/wiki/Stadio_Giuseppe_Grezar,http://www.wikidata.org/entity/Q1627980,Stadio Giuseppe Grezar,Point(13.79425764 45.62381518),8000,1932,NA,US Triestina Calcio 1918
114,S-114,Stadio Benito Mussolini,Turin,Italy,28000,https://en.wikipedia.org/wiki/Stadio_Olimpico_Grande_Torino,https://en.wikipedia.org/wiki/Turin,Stadio Olimpico Grande Torino,Stadio Olimpico Grande Torino,https://en.wikipedia.org/wiki/Stadio_Olimpico_Grande_Torino,http://www.wikidata.org/entity/Q214629,Stadio Olimpico Grande Torino,Point(7.65 45.041667),28177,1933,NA,Torino FC
115,S-115,Stadio delle Alpi,Turin,Italy,63000,https://en.wikipedia.org/wiki/Stadio_delle_Alpi,https://en.wikipedia.org/wiki/Turin,Stadio delle Alpi,Stadio Delle Alpi,https://en.wikipedia.org/wiki/Stadio_Delle_Alpi,http://www.wikidata.org/entity/Q215493,Stadio delle Alpi,Point(7.641261111 45.109561111),69295,1990,2009,Juventus FC; Torino FC
116,S-116,Stadio Friuli,Udine,Italy,36000,https://en.wikipedia.org/wiki/Stadio_Friuli,https://en.wikipedia.org/wiki/Udine,Stadio Friuli,Stadio Friuli,https://en.wikipedia.org/wiki/Stadio_Friuli,http://www.wikidata.org/entity/Q640031,Stadio Friuli,Point(13.200136 46.081603),25312,1976,NA,Udinese Calcio; Pordenone FC
117,S-117,Stadio Marc'Antonio Bentegodi,Verona,Italy,36000,https://en.wikipedia.org/wiki/Stadio_Marc%27Antonio_Bentegodi,https://en.wikipedia.org/wiki/Verona,Stadio Marc'Antonio Bentegodi,Stadio Marcantonio Bentegodi,https://en.wikipedia.org/wiki/Stadio_Marcantonio_Bentegodi,http://www.wikidata.org/entity/Q737093,Stadio Marcantonio Bentegodi,Point(10.968647 45.435356),31045,1963,NA,AC ChievoVerona; Hellas Verona FC
118,S-118,Kashima Stadium,Ibaraki,Japan,42000,https://en.wikipedia.org/wiki/Kashima_Soccer_Stadium,"https://en.wikipedia.org/wiki/Kashima,_Ibaraki",Kashima Soccer Stadium,Kashima Soccer Stadium,https://en.wikipedia.org/wiki/Kashima_Soccer_Stadium,http://www.wikidata.org/entity/Q494769,Kashima Soccer Stadium,Point(140.640525 35.991744),40728,1993,NA,Kashima Antlers; 2020 Summer Olympics
119,S-119,Kobe Wing Stadium,Kobe,Japan,42000,https://en.wikipedia.org/wiki/Kobe_Wing_Stadium,https://en.wikipedia.org/wiki/Kobe,Kobe Wing Stadium,Noevir Stadium Kobe,https://en.wikipedia.org/wiki/Noevir_Stadium_Kobe,http://www.wikidata.org/entity/Q494766,Wing Stadium Kobe,Point(135.168888888 34.656666666),30132,2001,NA,Vissel Kobe; INAC Kobe Leonessa; Kobelco Kobe Steelers
120,S-120,Miyagi Stadium,Miyagi,Japan,49000,https://en.wikipedia.org/wiki/Miyagi_Stadium,https://en.wikipedia.org/wiki/Miyagi_Prefecture,Miyagi Stadium,Miyagi Stadium,https://en.wikipedia.org/wiki/Miyagi_Stadium,http://www.wikidata.org/entity/Q494773,Q&A Stadium Miyagi,Point(140.950419444 38.335391666),49133,2000,NA,2020 Summer Olympics; Vegalta Sendai
121,S-121,Niigata Stadium,Niigata,Japan,42000,https://en.wikipedia.org/wiki/Denka_Big_Swan_Stadium,"https://en.wikipedia.org/wiki/Niigata,_Niigata",Denka Big Swan Stadium,Denka Big Swan Stadium,https://en.wikipedia.org/wiki/Denka_Big_Swan_Stadium,http://www.wikidata.org/entity/Q494749,Denka Big Swan Stadium,Point(139.059166666 37.8825),42300,2001,NA,Albirex Niigata; Albirex Niigata Ladies
122,S-122,Ōita Stadium,Ōita,Japan,43000,https://en.wikipedia.org/wiki/Showa_Denko_Dome_Oita,"https://en.wikipedia.org/wiki/Ōita,_Ōita",Showa Denko Dome Oita,Crasus Dome Oita,https://en.wikipedia.org/wiki/Crasus_Dome_Oita,http://www.wikidata.org/entity/Q482581,Ōita Stadium,Point(131.6575 33.200556),40000,2001,NA,Oita Trinita
123,S-123,Nagai Stadium,Osaka,Japan,50000,https://en.wikipedia.org/wiki/Nagai_Stadium,https://en.wikipedia.org/wiki/Osaka,Nagai Stadium,Nagai Stadium,https://en.wikipedia.org/wiki/Nagai_Stadium,http://www.wikidata.org/entity/Q494832,Yanmar Stadium Nagai,Point(135.518333 34.613889),47853,1964,NA,Cerezo Osaka
124,S-124,Saitama Stadium,Saitama,Japan,63000,https://en.wikipedia.org/wiki/Saitama_Stadium_2002,"https://en.wikipedia.org/wiki/Saitama,_Saitama",Saitama Stadium 2002,Saitama Stadium 2002,https://en.wikipedia.org/wiki/Saitama_Stadium_2002,http://www.wikidata.org/entity/Q482446,Saitama Stadium 2002,Point(139.717492 35.903142),63700,2001,NA,2020 Summer Olympics; Urawa Red Diamonds
125,S-125,Sapporo Dome,Sapporo,Japan,42000,https://en.wikipedia.org/wiki/Sapporo_Dome,https://en.wikipedia.org/wiki/Sapporo,Sapporo Dome,Sapporo Dome,https://en.wikipedia.org/wiki/Sapporo_Dome,http://www.wikidata.org/entity/Q494860,Sapporo Dome,Point(141.409767 43.015172),40178,2001,NA,2020 Summer Olympics; Hokkaido Consadole Sapporo; Hokkaido Nippon-Ham Fighters
126,S-126,Shizuoka Stadium ECOPA,Shizuoka,Japan,51000,https://en.wikipedia.org/wiki/Shizuoka_Stadium,"https://en.wikipedia.org/wiki/Fukuroi,_Shizuoka",Shizuoka Stadium,Shizuoka Stadium,https://en.wikipedia.org/wiki/Shizuoka_Stadium,http://www.wikidata.org/entity/Q482591,Shizuoka Stadium,Point(137.970503 34.743222),51349,2001,NA,Júbilo Iwata
127,S-127,International Stadium Yokohama,Yokohama,Japan,72000,https://en.wikipedia.org/wiki/International_Stadium_Yokohama,https://en.wikipedia.org/wiki/Yokohama,International Stadium Yokohama,Nissan Stadium (Yokohama),https://en.wikipedia.org/wiki/Nissan_Stadium_(Yokohama),http://www.wikidata.org/entity/Q116601,International Stadium Yokohama,Point(139.606247 35.510044),72327,1998,NA,2020 Summer Olympics; Yokohama F. Marinos
128,S-128,Estadio Jalisco,Guadalajara,Mexico,71000,https://en.wikipedia.org/wiki/Estadio_Jalisco,https://en.wikipedia.org/wiki/Guadalajara,Estadio Jalisco,Estadio Jalisco,https://en.wikipedia.org/wiki/Estadio_Jalisco,http://www.wikidata.org/entity/Q1346716,Jalisco Stadium,Point(-103.328139 20.705),63200,1960,NA,Atlas F.C.
129,S-129,Estadio Tres de Marzo,Guadalajara,Mexico,30000,https://en.wikipedia.org/wiki/Estadio_Tres_de_Marzo,https://en.wikipedia.org/wiki/Guadalajara,Estadio Tres de Marzo,Coliseo GNP Seguros,https://en.wikipedia.org/wiki/Coliseo_GNP_Seguros,http://www.wikidata.org/entity/Q579997,Estadio Tres de Marzo,Point(-103.416111111 20.693888888),30015,1971,NA,Tecos F.C.
130,S-130,Estadio Sergio León Chavez,Irapuato,Mexico,31000,https://en.wikipedia.org/wiki/Estadio_Sergio_León_Chávez,https://en.wikipedia.org/wiki/Irapuato,Estadio Sergio León Chávez,Estadio Sergio León Chávez,https://en.wikipedia.org/wiki/Estadio_Sergio_Le%C3%B3n_Ch%C3%A1vez,http://www.wikidata.org/entity/Q1369635,Estadio Sergio León Chávez,Point(-101.3563 20.6845),32784,1969,NA,Atlético Irapuato
