key_id,stadium_id,stadium_name,city_name,country_name,stadium_capacity,stadium_wikipedia_link,city_wikipedia_link,page_title,canonical_title,article_iri,wikidata_id,wikidata_name,coords,capacity_wd,opened_year,demolished_year,tenants
14,S-014,Arena da Amazônia,Manaus,Brazil,41000,https://en.wikipedia.org/wiki/Arena_da_Amazônia,https://en.wikipedia.org/wiki/Manaus,Arena da Amazônia,Arena da Amazônia,https://en.wikipedia.org/wiki/Arena_da_Amaz%C3%B4nia,http://www.wikidata.org/entity/Q641527,Arena Amazônia,Point(-60.028056 -3.083056),42924,2014,NA,Nacional Futebol Clube; América Futebol Clube
15,S-015,Arena das Dunas,Natal,Brazil,40000,https://en.wikipedia.org/wiki/Arena_das_Dunas,"https://en.wikipedia.org/wiki/Natal,_Rio_Grande_do_Norte",Arena das Dunas,Arena das Dunas,https://en.wikipedia.org/wiki/Arena_das_Dunas,http://www.wikidata.org/entity/Q1343986,Arena das Dunas,Point(-35.21236 -5.82681),45000,2014,NA,América Futebol Clube
16,S-016,Estádio Beira-Rio,Porto Alegre,Brazil,43000,https://en.wikipedia.org/wiki/Estádio_Beira-Rio,https://en.wikipedia.org/wiki/Porto_Alegre,Estádio Beira-Rio,Estádio Beira-Rio,https://en.wikipedia.org/wiki/Est%C3%A1dio_Beira-Rio,http://www.wikidata.org/entity/Q1050224,Estádio Beira-Rio,Point(-51.236086 -30.065614),49055,1969,NA,S.C. Internacional
17,S-017,Estádio dos Eucaliptos,Porto Alegre,Brazil,20000,https://en.wikipedia.org/wiki/Estádio_dos_Eucaliptos,https://en.wikipedia.org/wiki/Porto_Alegre,Estádio dos Eucaliptos,Estádio dos Eucaliptos,https://en.wikipedia.org/wiki/Est%C3%A1dio_dos_Eucaliptos,http://www.wikidata.org/entity/Q2556856,Estádio dos Eucaliptos,Point(-51.227222 -30.061667),10000,1931,2012,S.C. Internacional; Sport Club Americano (Porto Alegre)
18,S-018,Arena Pernambuco,Recife,Brazil,43000,https://en.wikipedia.org/wiki/Arena_Pernambuco,https://en.wikipedia.org/wiki/Recife,Arena Pernambuco,Arena Pernambuco,https://en.wikipedia.org/wiki/Arena_Pernambuco,http://www.wikidata.org/entity/Q1362211,Arena Cidade da Copa,Point(-35.008333333 -8.040555555),45440,2013,NA,Clube Náutico Capibaribe; 2014 FIFA World Cup
19,S-019,Estádio Ilha do Retiro,Recife,Brazil,30000,https://en.wikipedia.org/wiki/Estádio_Ilha_do_Retiro,https://en.wikipedia.org/wiki/Recife,Estádio Ilha do Retiro,Estádio Ilha do Retiro,https://en.wikipedia.org/wiki/Est%C3%A1dio_Ilha_do_Retiro,http://www.wikidata.org/entity/Q1370676,Estádio Ilha do Retiro,Point(-34.902888888 -8.062888888),35020,1937,NA,Sport Club do Recife
20,S-020,Estádio do Maracanã,Rio de Janeiro,Brazil,200000,https://en.wikipedia.org/wiki/Maracanã_Stadium,https://en.wikipedia.org/wiki/Rio_de_Janeiro,Maracanã Stadium,Maracanã Stadium,https://en.wikipedia.org/wiki/Maracan%C3%A3_Stadium,http://www.wikidata.org/entity/Q155174,Maracanã Stadium,Point(-43.230277777 -22.912222222),78838,1950,NA,Clube de Regatas do Flamengo; Fluminense F.C.
21,S-021,Arena Fonte Nova,Salvador,Brazil,52000,https://en.wikipedia.org/wiki/Arena_Fonte_Nova,"https://en.wikipedia.org/wiki/Salvador,_Bahia",Arena Fonte Nova,Arena Fonte Nova,https://en.wikipedia.org/wiki/Arena_Fonte_Nova,http://www.wikidata.org/entity/Q6499360,Arena Fonte Nova,Point(-38.504252777 -12.978819444),47915,2013,NA,Brazil men's national football team; Esporte Clube Bahia
22,S-022,Arena Corinthians,São Paulo,Brazil,63000,https://en.wikipedia.org/wiki/Arena_Corinthians,https://en.wikipedia.org/wiki/São_Paulo,Arena Corinthians,Arena Corinthians,https://en.wikipedia.org/wiki/Arena_Corinthians,http://www.wikidata.org/entity/Q1362236,Neo Química Arena,Point(-46.474 -23.545555555),47252,2014,NA,S.C. Corinthians Paulista; Novonor
23,S-023,Estádio do Pacaembu,São Paulo,Brazil,60000,https://en.wikipedia.org/wiki/Pacaembu_Stadium,https://en.wikipedia.org/wiki/São_Paulo,Pacaembu Stadium,Pacaembu Stadium,https://en.wikipedia.org/wiki/Pacaembu_Stadium,http://www.wikidata.org/entity/Q655175,Estádio do Pacaembu,Point(-46.665111 -23.548639),37730,1940,NA,S.C. Corinthians Paulista
