venue_name,venue_classification,use_at_games,current_status,games_year,host_city,reasoning,host_country,award_year,precision,iso3c,gdp_per_capita,cpi_score,city_pop_thousands,city_pop_year_used,city_pop_year_gap,page_title,types,wikidata_id,wikidata_name,coords,capacity_wd,opened_year,opened_year_source
Craven Cottage,Existing,Football,In use,1948,London,NA,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29,Craven Cottage,association football venue,http://www.wikidata.org/entity/Q318043,Craven Cottage,NA,NA,NA,NA
Selhurst Park,Existing,Football,In use,1948,London,NA,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29,Selhurst,suburb; area of London,http://www.wikidata.org/entity/Q2268251,Selhurst,NA,NA,NA,NA
Finchley Pool,Existing,Water polo,In use (rebuilt),1948,London,NA,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29,North Finchley,suburb; area of London,http://www.wikidata.org/entity/Q150209,North Finchley,NA,NA,NA,NA
White Hart Lane,Existing,Football,In use (rebuilt),1948,London,NA,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29,White Hart Lane,association football venue; defunct sports venue,http://www.wikidata.org/entity/Q186425,White Hart Lane,Point(-0.065833333 51.603333333),36284,1899,P1619
Empire Pool,Existing,"Swimming, diving, water
polo, boxing",In use (repurposed),1948,London,NA,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29,Wembley Arena,multi-purpose hall; indoor arena,http://www.wikidata.org/entity/Q815571,Wembley Arena,NA,NA,NA,NA
Enoshima Yacht Harbour,Existing,Sailing,In use,2020,Tokyo,NA,Japan,2013,exact,JPN,41369.1948479498,74,32885.497,2013,0,Sailing at the 2020 Summer Olympics – Laser,Olympic sporting event,http://www.wikidata.org/entity/Q65229879,sailing at the 2020 Summer Olympics – Laser,NA,NA,NA,NA
New South Wales Tennis Centre,New build,Tennis,In use,2000,Sydney,NA,Australia,1993,exact,AUS,17724.5399501656,NA,2814.738,1993,0,Sydney Olympic Park Tennis Centre,sports venue,http://www.wikidata.org/entity/Q2759057,Sydney Olympic Park Tennis Centre,Point(151.072222 -33.855),10000,1999,P1619
Penrith Whitewater Stadium,New build,Canoe slalom,In use,2000,Sydney,NA,Australia,1993,exact,AUS,17724.5399501656,NA,2814.738,1993,0,Penrith Whitewater Stadium,artificial whitewater,http://www.wikidata.org/entity/Q1354174,Penrith Whitewater Stadium,NA,NA,NA,NA
Baseball Stadium,New build,"Baseball, modern
pentathlon (equestrian,
running)",In use,2000,Sydney,NA,Australia,1993,exact,AUS,17724.5399501656,NA,2814.738,1993,0,Sydney Showground Stadium,stadium,http://www.wikidata.org/entity/Q5359559,Sydney Showground Stadium,Point(151.067778 -33.843056),25000,1998,P571
Blacktown Baseball Centre,New build,Baseball,In use,2000,Sydney,NA,Australia,1993,exact,AUS,17724.5399501656,NA,2814.738,1993,0,Blacktown,suburb,http://www.wikidata.org/entity/Q4216448,Blacktown,NA,NA,NA,NA
Mountain Bike Course,New build,Mountain bike,In use,2000,Sydney,NA,Australia,1993,exact,AUS,17724.5399501656,NA,2814.738,1993,0,Mountain biking in Australia,sport in a geographic region,http://www.wikidata.org/entity/Q6925449,mountain biking in Australia,NA,NA,NA,NA
Softball Centre,New build,Softball,In use,2000,Sydney,NA,Australia,1993,exact,AUS,17724.5399501656,NA,2814.738,1993,0,Blacktown International Sportspark,cricket field,http://www.wikidata.org/entity/Q2905603,Blacktown Baseball Stadium,Point(150.855278 -33.770556),3000,1999,P1619
Sydney International Archery Park,New build,Archery,In use,2000,Sydney,NA,Australia,1993,exact,AUS,17724.5399501656,NA,2814.738,1993,0,Sydney Olympic Park,suburb; precinct,http://www.wikidata.org/entity/Q1196395,Sydney Olympic Park,NA,NA,NA,NA
Sydney International Shooting Centre,New build,Shooting,In use,2000,Sydney,NA,Australia,1993,exact,AUS,17724.5399501656,NA,2814.738,1993,0,Sydney International Shooting Centre,shooting range; architectural structure,http://www.wikidata.org/entity/Q7659988,Sydney International Shooting Centre,Point(150.819 -33.8889),NA,NA,NA
Sydney Olympic Village,New build,Athlete accommodation,In use,2000,Sydney,NA,Australia,1993,exact,AUS,17724.5399501656,NA,2814.738,1993,0,Sydney Olympic Park,suburb; precinct,http://www.wikidata.org/entity/Q1196395,Sydney Olympic Park,NA,NA,NA,NA
Beach Volleyball Centre,Temporary,Beach volleyball,Dismantled (temporary),2000,Sydney,NA,Australia,1993,exact,AUS,17724.5399501656,NA,2814.738,1993,0,Bondi Beach,suburb,http://www.wikidata.org/entity/Q673418,Bondi Beach,NA,NA,NA,NA
Centennial Parklands,Temporary,Cycling (road),Dismantled (temporary),2000,Sydney,NA,Australia,1993,exact,AUS,17724.5399501656,NA,2814.738,1993,0,Centennial Parklands,park,http://www.wikidata.org/entity/Q5059201,Centennial Parklands,NA,NA,NA,NA
Sydney Opera House,Temporary,Triathlon,Dismantled (temporary),2000,Sydney,NA,Australia,1993,exact,AUS,17724.5399501656,NA,2814.738,1993,0,Sydney Opera House,opera house; architectural landmark; historical cultural heritage site,http://www.wikidata.org/entity/Q45178,Sydney Opera House,NA,NA,NA,NA
Brisbane Cricket Ground,Existing,Football,In use,2000,Sydney,NA,Australia,1993,exact,AUS,17724.5399501656,NA,2814.738,1993,0,Sydney Cricket Ground,stadium; cricket field; rugby union venue,http://www.wikidata.org/entity/Q856393,Sydney Cricket Ground,NA,NA,NA,NA
Bruce Stadium,Existing,Football,In use,2000,Sydney,NA,Australia,1993,exact,AUS,17724.5399501656,NA,2814.738,1993,0,Stadium Australia,multi-purpose sports venue,http://www.wikidata.org/entity/Q295886,Accor Stadium,NA,NA,NA,NA
Dome,New build,"Basketball, handball",In use,2000,Sydney,NA,Australia,1993,exact,AUS,17724.5399501656,NA,2814.738,1993,0,Sydney SuperDome,stadium,http://www.wikidata.org/entity/Q1851216,Sydney SuperDome,NA,NA,NA,NA
"Exhibition Complex (Pavilions 2, 3, 4)",New build,"Rhythmic gymnastics,
handball, badminton,
volleyball, modern
pentathlon (fencing,
shooting)",In use,2000,Sydney,NA,Australia,1993,exact,AUS,17724.5399501656,NA,2814.738,1993,0,Sydney Showground (Olympic Park),arena,http://www.wikidata.org/entity/Q12070422,Sydney Showground,Point(151.068056 -33.845556),10000,1999,P1619
Olympic Stadium,New build,"Athletics, football,
Opening and Closing
Ceremonies",In use,2000,Sydney,NA,Australia,1993,exact,AUS,17724.5399501656,NA,2814.738,1993,0,Stadium Australia,multi-purpose sports venue,http://www.wikidata.org/entity/Q295886,Accor Stadium,NA,NA,NA,NA
Dunc Gray Velodrome,New build,Cycling (track),In use,2000,Sydney,NA,Australia,1993,exact,AUS,17724.5399501656,NA,2814.738,1993,0,Dunc Gray Velodrome,velodrome,http://www.wikidata.org/entity/Q1265332,Dunc Gray Velodrome,Point(150.998611 -33.9075),3150,2000,P1619
Sydney International Regatta Centre,New build,"Rowing, canoe sprint",In use,2000,Sydney,NA,Australia,1993,exact,AUS,17724.5399501656,NA,2814.738,1993,0,Sydney International Regatta Centre,rowing and canoeing venue,http://www.wikidata.org/entity/Q3979055,Sydney International Regatta Centre,NA,NA,NA,NA
Ryde Aquatic Leisure Centre,New build,Water polo,In use,2000,Sydney,NA,Australia,1993,exact,AUS,17724.5399501656,NA,2814.738,1993,0,Ryde Aquatic Leisure Centre,swimming center,http://www.wikidata.org/entity/Q7384878,Ryde Aquatic Leisure Centre,Point(151.11896 -33.82168),NA,NA,NA
Sydney International Aquatic Centre,New build,"Swimming, diving, artistic
swimming, water polo, modern pentathlon (swimming)",In use,2000,Sydney,NA,Australia,1993,exact,AUS,17724.5399501656,NA,2814.738,1993,0,Sydney Olympic Park Aquatic Centre,sports venue,http://www.wikidata.org/entity/Q1058641,Sydney Olympic Park Aquatic Centre,Point(151.069 -33.8503),NA,1994,P571
Izu Velodrome,Existing,Cycling,In use,2020,Tokyo,NA,Japan,2013,exact,JPN,41369.1948479498,74,32885.497,2013,0,Izu Velodrome,velodrome,http://www.wikidata.org/entity/Q11380533,Izu Velodrome,Point(139.015194 35.011528),NA,2011,P1619
Izu MTB Course,Existing,Cycling,In use,2020,Tokyo,NA,Japan,2013,exact,JPN,41369.1948479498,74,32885.497,2013,0,Cycling at the 2020 Summer Olympics – Men's cross-country,Olympic sporting event; cycling at the Summer Olympics – men's cross-country,http://www.wikidata.org/entity/Q65242237,cycling at the 2020 Summer Olympics – men's cross-country,NA,NA,NA,NA
Fuji International Speedway,Existing,Cycling,In use,2020,Tokyo,NA,Japan,2013,exact,JPN,41369.1948479498,74,32885.497,2013,0,Fuji Speedway,motorsport racing track,http://www.wikidata.org/entity/Q171399,Fuji Speedway,NA,NA,NA,NA
Fukushima Azuma Baseball Stadium,Existing,"Baseball, Softball",In use,2020,Tokyo,NA,Japan,2013,exact,JPN,41369.1948479498,74,32885.497,2013,0,Fukushima (city),city of Japan; core city of Japan; big city; prefectural capital of Japan,http://www.wikidata.org/entity/Q161176,Fukushima,NA,NA,NA,NA
Yokohama Baseball Stadium,Existing,"Baseball, Softball",In use,2020,Tokyo,NA,Japan,2013,exact,JPN,41369.1948479498,74,32885.497,2013,0,NA,domed stadium; multi-purpose sports venue,NA,Tokyo Dome,NA,NA,NA,P1619
Sapporo Dome,Existing,Football,In use,2020,Tokyo,NA,Japan,2013,exact,JPN,41369.1948479498,74,32885.497,2013,0,Sapporo Dome,multi-purpose sports venue; music venue,http://www.wikidata.org/entity/Q494860,Sapporo Dome,Point(141.409767 43.015172),40178,2001,P1619
Miyagi Stadium,Existing,Football,In use,2020,Tokyo,NA,Japan,2013,exact,JPN,41369.1948479498,74,32885.497,2013,0,Miyagi Stadium,association football venue; pitch,http://www.wikidata.org/entity/Q494773,Q&A Stadium Miyagi,Point(140.950419444 38.335391666),49133,2000,P1619
Berlin Olympic Village,New build,Athlete accommodation,Not in use (demolished),1936,Berlin,abandoned before demolition - this is the white elephant,Germany,1931,exact,DEU,NA,NA,3025.918,1975,44,1936 Summer Olympics,Summer Olympic Games edition,http://www.wikidata.org/entity/Q8150,1936 Summer Olympics,NA,NA,NA,NA
Döberitz Military Drill Grounds,Existing,"Modern pentathlon
(equestrian), equestrian
(cross-country)",Not in use (demolished),1936,Berlin,urban redevelopment - not a failure,Germany,1931,exact,DEU,NA,NA,3025.918,1975,44,German prisoner-of-war camps in World War I,NA,http://www.wikidata.org/entity/Q104840582,German prisoner-of-war camps in World War I,NA,NA,NA,NA
Griffin Park,Existing,Football,Not in use (demolished),1948,London,urban redevelopment - not a failure,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29,Griffin Park,association football venue,http://www.wikidata.org/entity/Q1546623,Griffin Park,NA,NA,NA,NA
"Guinness Sports Ground, Park Royal",Existing,Field hockey,Not in use (demolished),1948,London,urban redevelopment - not a failure,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29,Park Royal,area of London,http://www.wikidata.org/entity/Q83394,Park Royal,NA,NA,NA,NA
Empress Hall (Earl’s Court),Existing,"Boxing, wrestling,
weightlifting,
gymnastics",Not in use (demolished),1948,London,urban redevelopment - not a failure,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29,Earls Court Exhibition Centre,sports venue; convention center; music venue,http://www.wikidata.org/entity/Q1130746,Earls Court Exhibition Centre,NA,NA,NA,NA
Arsenal Stadium (Highbury Stadium),Existing,Football,Not in use (demolished),1948,London,urban redevelopment - not a failure,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29,Arsenal Stadium,association football venue; defunct sports venue,http://www.wikidata.org/entity/Q205309,Arsenal Stadium,Point(-0.102966 51.557696),38419,1913,P1619
Green Pond Road,Existing,Football,Not in use (demolished),1948,London,urban redevelopment - not a failure,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29,Green Pond Road,stadium,http://www.wikidata.org/entity/Q15222104,Green Pond Road,Point(-0.03050278 51.59144444),NA,NA,NA
Harringay Arena,Existing,Basketball,Not in use (demolished),1948,London,urban redevelopment - not a failure,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29,Harringay Arena,sports venue; event venue,http://www.wikidata.org/entity/Q5664507,Harringay Arena,Point(-0.097697 51.5763),NA,1936,P1619
Central Gymnasium or Command Central Gymnasium,Existing,"Modern pentathlon
(fencing)",In use,1948,London,NA,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29,Ivo Lola Ribar,human,http://www.wikidata.org/entity/Q1265884,Ivo Lola Ribar,NA,NA,NA,NA
Aldershot Command Central Stadium,Existing,"Eventing, dressage",In use (rebuilt),1948,London,NA,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29,Venues of the 1948 Summer Olympics,Wikimedia list article,http://www.wikidata.org/entity/Q7920496,Venues of the 1948 Summer Olympics,NA,NA,NA,NA
Tweseldown Racecourse,Existing,"Eventing, modern
pentathlon (equestrian)",In use,1948,London,NA,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29,Tweseldown Racecourse,horse racing venue,http://www.wikidata.org/entity/Q7857855,Tweseldown Racecourse,NA,NA,NA,NA
Aldershot Pool/ Aldershot Lido,Existing,"Modern pentathlon
(swimming)",In use,1948,London,NA,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29,Aldershot,unparished area; town of the United Kingdom,http://www.wikidata.org/entity/Q646980,Aldershot,NA,NA,NA,NA
Bisley (Bisley National Rifle Association Ranges),Existing,"Shooting, modern pentathlon (shooting)",In use,1948,London,NA,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29,National Rifle Association (United Kingdom),charitable organization; sports governing body; shooting sport association; national sports governing body,http://www.wikidata.org/entity/Q6978115,National Rifle Association,NA,NA,NA,NA
Fratton Park,Existing,Football,In use,1948,London,NA,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29,Fratton Park,association football venue,http://www.wikidata.org/entity/Q619531,Fratton Park,NA,NA,NA,NA
"Royal Military Academy, Sandhurst",Existing,"Modern pentathlon
(running)",In use,1948,London,NA,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29,Royal Military Academy Sandhurst,military academy,http://www.wikidata.org/entity/Q575618,Royal Military Academy Sandhurst,NA,NA,NA,NA
Torbay,Existing,Sailing,In use,1948,London,NA,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29,Torbay,borough in the United Kingdom; unitary authority area; county borough; non-metropolitan district,http://www.wikidata.org/entity/Q1136118,Torbay,NA,NA,NA,NA
Henley-on-Thames (site of the Royal Regatta Course),Existing,"Rowing, canoe",In use,1948,London,NA,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29,Henley Royal Regatta,recurring sporting event,http://www.wikidata.org/entity/Q1543109,Henley Royal Regatta,NA,NA,NA,NA
Lynn Road,Existing,Football,Not in use (demolished),1948,London,urban redevelopment - not a failure,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29,A10 road (England),A road,http://www.wikidata.org/entity/Q4648805,A10 road,NA,NA,NA,NA
Windsor Great Park,Temporary,Cycling (road),Dismantled (temporary),1948,London,NA,United Kingdom,1946,exact,GBR,NA,NA,7369.842,1975,29,Windsor Great Park,park; royal forest,http://www.wikidata.org/entity/Q3569306,Windsor Great Park,NA,NA,NA,NA
St .Moritz Olympic Stadium,Existing,"Figure skating, speed skating, ice hockey,
Opening and Closing
Ceremonies",In use,1948,St. Moritz,NA,Switzerland,1946,exact,CHE,NA,NA,NA,NA,NA,St. Moritz,municipality of Switzerland; city of Switzerland,http://www.wikidata.org/entity/Q68986,St. Moritz,NA,NA,NA,NA
Sea Forest Cross-Country Course,Temporary,Equestrian,Dismantled (temporary),2020,Tokyo,NA,Japan,2013,exact,JPN,41369.1948479498,74,32885.497,2013,0,Olympic and Paralympic deaths,Wikimedia list article,http://www.wikidata.org/entity/Q10563569,Olympic deaths,NA,NA,NA,NA
Sea Forest Waterway,New,"Canoe, Rowing",In use,2020,Tokyo,NA,Japan,2013,exact,JPN,41369.1948479498,74,32885.497,2013,0,Sea Forest Waterway,rowing and canoeing venue,http://www.wikidata.org/entity/Q41795362,Sea Forest Waterway,NA,NA,NA,NA
Kasai Canoe Slalom Centre,New,Canoe,In use,2020,Tokyo,NA,Japan,2013,exact,JPN,41369.1948479498,74,32885.497,2013,0,Kasai Canoe Slalom Centre,rowing and canoeing venue,http://www.wikidata.org/entity/Q82992191,Kasai Canoe Slalom Centre,NA,NA,NA,NA
Yumenoshima Park Archery Field,New,Archery,In use,2020,Tokyo,NA,Japan,2013,exact,JPN,41369.1948479498,74,32885.497,2013,0,Yumenoshima Park,Tokyo metropolitan park,http://www.wikidata.org/entity/Q11431452,Yumenoshima Park,NA,NA,NA,NA
Tokyo Aquatics Centre,New,Aquatics,In use,2020,Tokyo,NA,Japan,2013,exact,JPN,41369.1948479498,74,32885.497,2013,0,Tokyo Aquatics Centre,swimming center,http://www.wikidata.org/entity/Q65038183,Tokyo Aquatics Centre,Point(139.8151 35.6511),NA,2020,P1619
Tatsumi Water Polo Centre,Existing,Water Polo,In use (repurposed),2020,Tokyo,NA,Japan,2013,exact,JPN,41369.1948479498,74,32885.497,2013,0,Tokyo Tatsumi International Swimming Center,swimming center; Q11548891,http://www.wikidata.org/entity/Q6148001,Tokyo Tatsumi International Swimming Centre,Point(139.818941666 35.647666666),3635,1993,P1619
Tokyo Olympic Village,New,Athlete accommodation,In use,2020,Tokyo,NA,Japan,2013,exact,JPN,41369.1948479498,74,32885.497,2013,0,2020 Summer Olympics,Summer Olympic Games edition,http://www.wikidata.org/entity/Q181278,2020 Summer Olympics,NA,NA,NA,NA
Sapporo Odori Park,Temporary,"Marathon, Race Walking",Dismantled (temporary),2020,Tokyo,NA,Japan,2013,exact,JPN,41369.1948479498,74,32885.497,2013,0,Odori Park,urban park; planned road in Japan; linear park,http://www.wikidata.org/entity/Q3107971,Odori Park,NA,NA,NA,NA
Makuhari Messe Hall A,Existing,"Taekwondo, Wrestling",In use,2020,Tokyo,NA,Japan,2013,exact,JPN,41369.1948479498,74,32885.497,2013,0,Makuhari Messe,arena; convention center; event venue; combined facility,http://www.wikidata.org/entity/Q862452,Makuhari Messe,NA,NA,NA,NA
Makuhari Messe Hall B,Existing,Fencing,In use,2020,Tokyo,NA,Japan,2013,exact,JPN,41369.1948479498,74,32885.497,2013,0,Makuhari Messe,arena; convention center; event venue; combined facility,http://www.wikidata.org/entity/Q862452,Makuhari Messe,NA,NA,NA,NA
Tsurigasaki Surfing Beach,Temporary,Surfing,Dismantled (temporary),2020,Tokyo,NA,Japan,2013,exact,JPN,41369.1948479498,74,32885.497,2013,0,Surfing,type of sport; hobby; Olympic sport; industry,http://www.wikidata.org/entity/Q159992,surfing,NA,NA,NA,NA
Saitama Super Arena,Existing,Basketball,In use,2020,Tokyo,NA,Japan,2013,exact,JPN,41369.1948479498,74,32885.497,2013,0,Saitama Super Arena,arena; multi-purpose hall,http://www.wikidata.org/entity/Q1052149,Saitama Super Arena,Point(139.630833 35.894889),37000,2000,P1619
Asaka Shooting Range,Temporary,Shooting,In use,2020,Tokyo,NA,Japan,2013,exact,JPN,41369.1948479498,74,32885.497,2013,0,Camp Asaka,garrison,http://www.wikidata.org/entity/Q4803412,Camp Asaka,NA,NA,NA,NA
Kasumigaseki Country Club,Existing,Golf,In use,2020,Tokyo,NA,Japan,2013,exact,JPN,41369.1948479498,74,32885.497,2013,0,Kasumigaseki Country Club,golf course,http://www.wikidata.org/entity/Q11660816,Kasumigaseki Country Club,Point(139.40444444 35.90138889),NA,1929,P1619
Olympic Beach Volleyball Centre,New build,Beach volleyball,Not in use (demolished),2004,Athens,abandoned before demolition - this is the white elephant,Greece,1997,exact,GRC,13015.9175046854,NA,3278.09,1997,0,Faliro Coastal Zone Olympic Complex,architectural ensemble; sports park,http://www.wikidata.org/entity/Q139569,Faliro Coastal Zone Olympic Complex,NA,NA,NA,NA
Olympic Softball Stadium,New build,Softball,Not in use (demolished),2004,Athens,abandoned before demolition - this is the white elephant,Greece,1997,exact,GRC,13015.9175046854,NA,3278.09,1997,0,Hellinikon Olympic Complex,arena,http://www.wikidata.org/entity/Q1332245,Hellinikon Olympic Complex,NA,NA,NA,NA
Kulm Hotel Skating Rink,Existing,Figure skating,In use,1948,St. Moritz,NA,Switzerland,1946,exact,CHE,NA,NA,NA,NA,NA,1948 Winter Olympics,international sporting event; Winter Olympic Games edition,http://www.wikidata.org/entity/Q9615,1948 Winter Olympics,NA,NA,NA,NA
Suvretta House Ice Rink,Existing,Ice hockey,In use,1948,St. Moritz,NA,Switzerland,1946,exact,CHE,NA,NA,NA,NA,NA,Suvretta House,hotel,http://www.wikidata.org/entity/Q1650144,Suvretta House,NA,NA,NA,NA
Corviglia/Piz Nair,Existing,Alpine skiing,In use,1948,St. Moritz,NA,Switzerland,1946,exact,CHE,NA,NA,NA,NA,NA,St. Moritz,municipality of Switzerland; city of Switzerland,http://www.wikidata.org/entity/Q68986,St. Moritz,NA,NA,NA,NA
State Sports Centre,Existing,"Table tennis,
taekwondo",In use,2000,Sydney,NA,Australia,1993,exact,AUS,17724.5399501656,NA,2814.738,1993,0,State Sports Centre,sports venue,http://www.wikidata.org/entity/Q7603544,State Sports Centre,Point(151.069444 -33.853333),5006,1984,P1619
Sydney Convention and Exhibition Centre,Existing,"Weightlifting, wrestling,
judo, fencing, boxing",In use (rebuilt),2000,Sydney,NA,Australia,1993,exact,AUS,17724.5399501656,NA,2814.738,1993,0,International Convention Centre Sydney,building,http://www.wikidata.org/entity/Q22271891,International Convention Centre Sydney,NA,NA,NA,NA
Sydney Football Stadium,Existing,Football,In use (rebuilt),2000,Sydney,NA,Australia,1993,exact,AUS,17724.5399501656,NA,2814.738,1993,0,Sydney Football Stadium (2022),stadium; multi-purpose sports venue,http://www.wikidata.org/entity/Q65091153,Sydney Football Stadium II,NA,NA,NA,NA
Los Angeles Memorial Sports Arena,Existing,Boxing,Not in use (demolished),1984,Los Angeles,urban redevelopment - not a failure,United States,1978,exact,USA,10564.9482220275,NA,8010.537,1978,0,Los Angeles Memorial Sports Arena,arena,http://www.wikidata.org/entity/Q1571403,Los Angeles Memorial Sports Arena,Point(-118.284444444 34.013055555),16161,1959,P1619
Sydney International Equestrian Centre,New build,"Eventing, dressage,
jumping",In use,2000,Sydney,NA,Australia,1993,exact,AUS,17724.5399501656,NA,2814.738,1993,0,Sydney International Equestrian Centre,sports venue,http://www.wikidata.org/entity/Q7659987,Sydney International Equestrian Centre,Point(150.854 -33.8487),NA,NA,NA
State Hockey Centre,New build,Hockey,In use,2000,Sydney,NA,Australia,1993,exact,AUS,17724.5399501656,NA,2814.738,1993,0,Sydney Olympic Park Hockey Centre,stadium,http://www.wikidata.org/entity/Q2333630,Sydney Olympic Park Hockey Centre,Point(151.068056 -33.855),8000,1998,P571
Sydney Superdome,New build,"Artistic gymnastics,
trampoline gymnastics,
basketball",In use,2000,Sydney,NA,Australia,1993,exact,AUS,17724.5399501656,NA,2814.738,1993,0,Sydney SuperDome,stadium,http://www.wikidata.org/entity/Q1851216,Sydney SuperDome,NA,NA,NA,NA
Blyth Memorial Ice Arena,New build,"Ice hockey, figure skating,
Opening and Closing
Ceremonies",Not in use (demolished),1960,Squaw Valley,urban redevelopment - not a failure,United States,1955,exact,USA,NA,NA,NA,NA,NA,1960 Winter Olympics,Winter Olympic Games edition,http://www.wikidata.org/entity/Q9634,1960 Winter Olympics,NA,NA,NA,NA
Georgia Dome,Existing,"Artistic gymnastics,
basketball, handball",Not in use (demolished),1996,Atlanta,urban redevelopment - not a failure,United States,1990,exact,USA,23888.6000088133,NA,56.211,1995,5,Georgia Dome,stadium,http://www.wikidata.org/entity/Q1058931,Georgia Dome,Point(-84.400833333 33.7575),74228,1992,P1619
Alonzo Herndon Stadium,Existing,Hockey,Not in use (demolished),1996,Atlanta,abandoned before demolition - this is the white elephant,United States,1990,exact,USA,23888.6000088133,NA,56.211,1995,5,Herndon Stadium,stadium,http://www.wikidata.org/entity/Q628544,Herndon Stadium,Point(-84.4088 33.756),15011,1948,P571
Atlanta Fulton County Stadium,Existing,Baseball,Not in use (demolished),1996,Atlanta,urban redevelopment - not a failure,United States,1990,exact,USA,23888.6000088133,NA,56.211,1995,5,Atlanta–Fulton County Stadium,stadium,http://www.wikidata.org/entity/Q641243,Atlanta-Fulton County Stadium,NA,NA,NA,NA
Stone Mountain Park Tennis Center,New build,Tennis,Not in use (demolished),1996,Atlanta,abandoned before demolition - this is the white elephant,United States,1990,exact,USA,23888.6000088133,NA,56.211,1995,5,Stone Mountain Tennis Center,sports venue,http://www.wikidata.org/entity/Q7619000,Stone Mountain Tennis Center,Point(-84.1234 33.8211),NA,NA,NA
Olympic Village,New build,Athlete accommodation,In use,2004,Athens,NA,Greece,1997,exact,GRC,13015.9175046854,NA,3278.09,1997,0,2004 Summer Olympics,Summer Olympic Games edition,http://www.wikidata.org/entity/Q8558,2004 Summer Olympics,NA,NA,NA,NA
Vouliagmeni Olympic Centre,Temporary,"Cycling (road), triathlon",Dismantled (temporary),2004,Athens,NA,Greece,1997,exact,GRC,13015.9175046854,NA,3278.09,1997,0,Vouliagmeni Olympic Centre,sports venue,http://www.wikidata.org/entity/Q5136164,Vouliagmeni Olympic Centre,Point(23.7744 37.819),3600,NA,NA
Helliniko Fencing Hall,New build,Fencing,Not in use (demolished),2004,Athens,abandoned before demolition - this is the white elephant,Greece,1997,exact,GRC,13015.9175046854,NA,3278.09,1997,0,Hellinikon Olympic Complex,arena,http://www.wikidata.org/entity/Q1332245,Hellinikon Olympic Complex,NA,NA,NA,NA
Nagano Olmpic Stadium,New build,"Opening and Closing
Ceremonies",In use,1998,Nagano,NA,Japan,1991,exact,JPN,30048.1401766828,NA,197.95,1991,0,NA,NA,NA,NA,NA,NA,NA,NA
Olympic Village,New build,Athlete accomodation,In use,1998,Nagano,NA,Japan,1991,exact,JPN,30048.1401766828,NA,197.95,1991,0,1998 Winter Olympics,Winter Olympic Games edition,http://www.wikidata.org/entity/Q9664,1998 Winter Olympics,NA,NA,NA,NA
Rushcutters Bay,Existing,Sailing,In use,2000,Sydney,NA,Australia,1993,exact,AUS,17724.5399501656,NA,2814.738,1993,0,Rushcutters Bay,suburb,http://www.wikidata.org/entity/Q2919661,Rushcutters Bay,NA,NA,NA,NA
St. Moritz Olympia Bob Run,Temporary (seasonal),Bobsleigh,In use (seasonal),1948,St. Moritz,NA,Switzerland,1946,exact,CHE,NA,NA,NA,NA,NA,St. Moritz-Celerina Olympic Bobrun,bobsleigh track; artificial luge track,http://www.wikidata.org/entity/Q685571,Olympia Bob Run St. Moritz–Celerina,NA,NA,NA,NA
Cresta Run,Temporary (seasonal),"Cresta (which later
evolved into skeleton)",In use (seasonal),1948,St. Moritz,NA,Switzerland,1946,exact,CHE,NA,NA,NA,NA,NA,Cresta Run,type of sport; sports venue,http://www.wikidata.org/entity/Q647714,Cresta Run,Point(9.84505 46.5026),NA,1884,P1619
"Exhibition Hall I, II (Messuhalli I, II)",Existing,"Artistic gymnastics,
basketball, boxing,
wrestling, weightlifting",In use,1952,Helsinki,NA,Finland,1947,exact,FIN,NA,NA,268.059,1975,28,Gymnastics at the 1952 Summer Olympics,Olympic sports discipline event,http://www.wikidata.org/entity/Q650263,gymnastics at the 1952 Summer Olympics,NA,NA,NA,NA
Olympic Stadium,Existing,"Athletics, football,
equestrian (jumping),
Opening and Closing
Ceremonies",In use,1952,Helsinki,NA,Finland,1947,exact,FIN,NA,NA,268.059,1975,28,Helsinki Olympic Stadium,stadium; Olympic stadium; association football venue; pitch,http://www.wikidata.org/entity/Q332219,Helsinki Olympic Stadium,NA,NA,NA,NA
