venue_name,venue_classification,use_at_games,current_status,games_year,host_city,reasoning,host_country,award_year,precision,iso3c,gdp_per_capita,cpi_score,city_pop_thousands,city_pop_year_used,city_pop_year_gap,page_title,types,wikidata_id,wikidata_name,coords,capacity_wd,opened_year,opened_year_source
Francis Field Stadium,Existing,"Archery, gymnastics,
athletics, cycling (track),
football, lacrosse, roque,
tug of war, weightlifting,
wrestling",In use,1904,St. Louis,NA,United States,1903,approximate,USA,NA,NA,534.077,1975,72,Francis Olympic Field,stadium,http://www.wikidata.org/entity/Q1140737,Francis Olympic Field,Point(-90.313611111 38.647777777),4000,1904,P1619
Creve Coeur Lake,Existing,Rowing,In use,1904,St. Louis,NA,United States,1903,approximate,USA,NA,NA,534.077,1975,72,"Creve Coeur, Missouri",city in the United States,http://www.wikidata.org/entity/Q612541,Creve Coeur,NA,NA,NA,NA
Glen Echo Country Club,Existing,Golf,In use,1904,St. Louis,NA,United States,1903,approximate,USA,NA,NA,534.077,1975,72,Glen Echo Country Club,golf course,http://www.wikidata.org/entity/Q5567712,Glen Echo Country Club,Point(-90.3006 38.7011),NA,NA,NA
Physical Culture Gymnasium,Existing,"Boxing, fencing",In use,1904,St. Louis,NA,United States,1903,approximate,USA,NA,NA,534.077,1975,72,Gateway Arch,arch; park; architectural landmark; monument,http://www.wikidata.org/entity/Q2027162,Gateway Arch,NA,NA,NA,NA
Dirt Courts near Francis Field,New build,Tennis,In use (rebuilt),1904,St. Louis,NA,United States,1903,approximate,USA,NA,NA,534.077,1975,72,Saint Helena,island; crown colony,http://www.wikidata.org/entity/Q34497,Saint Helena,NA,NA,NA,NA
US Life Saving Lake / Life Saving Exhibition Lake,Temporary,"Swimming, diving, water polo",Dismantled (temporary),1904,St. Louis,NA,United States,1903,approximate,USA,NA,NA,534.077,1975,72,1904 Summer Olympics,Summer Olympic Games edition,http://www.wikidata.org/entity/Q8098,1904 Summer Olympics,NA,NA,NA,NA
All England Lawn Tennis and Croquet Club,Existing,Tennis,Not in use (demolished),1908,London,urban redevelopment - not a failure,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,1975,69,All England Lawn Tennis and Croquet Club,sports club; gentlemen's club,http://www.wikidata.org/entity/Q815369,All England Lawn Tennis and Croquet Club,NA,NA,NA,NA
Hurlingham Polo Grounds,Existing,Polo,In use,1908,London,NA,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,1975,69,The Hurlingham Club,sports club,http://www.wikidata.org/entity/Q1638472,Hurlingham Club,NA,NA,NA,NA
Northampton Institute,Existing,Boxing,In use,1908,London,NA,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,1975,69,"City St George's, University of London",university,http://www.wikidata.org/entity/Q124917493,"City St George's, University of London",NA,NA,NA,NA
Queen’s Club,Existing,Tennis,In use,1908,London,NA,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,1975,69,Queen's Club,sports club; tennis venue,http://www.wikidata.org/entity/Q1748936,The Queen's Club,Point(-0.211666666 51.4875),NA,1886,P571
"Prince’s Skating Club, Montpelier Square",Existing,Figure skating,Not in use (demolished),1908,London,abandoned before demolition - this is the white elephant,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,1975,69,Prince's Club,sports club; gentlemen's club,http://www.wikidata.org/entity/Q7243731,Prince's Club,NA,NA,NA,NA
"Prince’s Galleries, Piccadilly (Prince’s Hall)",Existing,Fencing,Not in use (demolished),1908,London,urban redevelopment - not a failure,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,1975,69,Prince's Hall,concert hall,http://www.wikidata.org/entity/Q101037017,Prince's Hall,NA,NA,NA,NA
Uxendon Shooting School Club,Existing,Shooting,Not in use (demolished),1908,London,urban redevelopment - not a failure,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,1975,69,Uxendon Shooting School Club,sports venue,http://www.wikidata.org/entity/Q7904060,Uxendon Shooting School Club,Point(-0.285556 51.5725),NA,NA,NA
London Olympic Stadium,New build,"Athletics, swimming, water polo, gymnastics, archery, cycling (track), diving, football, hockey, rugby, wrestling, lacrosse, tug-of-war, Opening Ceremony",Not in use (demolished),1908,London,urban redevelopment - not a failure,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,1975,69,London Stadium,baseball venue; association football venue; rugby union venue; rugby league venue,http://www.wikidata.org/entity/Q172190,London Stadium,NA,NA,NA,NA
Fencing Grounds,Temporary,Fencing,Dismantled (temporary),1908,London,NA,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,1975,69,Fencing at the 1908 Summer Olympics,Olympic sports discipline event,http://www.wikidata.org/entity/Q908728,fencing at the 1908 Summer Olympics,NA,NA,NA,NA
Henley Royal Regatta Course,Existing,"Rowing, canoe sprint",In use,1908,London,NA,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,1975,69,Henley Royal Regatta,recurring sporting event,http://www.wikidata.org/entity/Q1543109,Henley Royal Regatta,NA,NA,NA,NA
Southampton Water,Existing,Water motorsports,In use,1908,London,NA,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,1975,69,Southampton,city; big city,http://www.wikidata.org/entity/Q79848,Southampton,NA,NA,NA,NA
"Ryde Pier, Ryde, Isle of Wight",Existing,Sailing,In use,1908,London,NA,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,1975,69,Ryde,town; civil parish,http://www.wikidata.org/entity/Q776556,Ryde,NA,NA,NA,NA
Bisley Rifle Range,Existing,Shooting,In use,1908,London,NA,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,1975,69,National Shooting Centre,shooting range; private company limited by shares,http://www.wikidata.org/entity/Q21474154,National Shooting Centre,Point(-0.6554 51.3113),NA,NA,NA
"Royal Clyde Yacht Club, Hunters Quay",Existing,Sailing,In use,1908,London,NA,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,1975,69,Royal Northern and Clyde Yacht Club,organization,http://www.wikidata.org/entity/Q7374603,Royal Northern and Clyde Yacht Club,NA,NA,NA,NA
Stockholms Fältridklubbs Stadion / Stockholm Cross Country Riding Club Stadium,Existing,Eventing,In use,1912,Stockholm,NA,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,NA,NA,NA,NA,NA,NA,NA,NA
Djurgårdsbrunnsviken,Existing,Rowing,In use,1912,Stockholm,NA,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,Djurgårdsbrunnsviken,bay,http://www.wikidata.org/entity/Q1232282,Djurgårdsbrunnsviken,NA,NA,NA,NA
Traneberg Athletic Sports Grounds (Tranebergs Idrottsplats),Existing,Football,In use,1912,Stockholm,NA,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,1912 Summer Olympics,Summer Olympic Games edition,http://www.wikidata.org/entity/Q8118,1912 Summer Olympics,NA,NA,NA,NA
Royal Tennis Halls (Tennishallen),Existing,Tennis,Not in use (demolished),1912,Stockholm,urban redevelopment - not a failure,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,Stockholm,city; Hanseatic city; big city; port city; largest city; national capital,http://www.wikidata.org/entity/Q1754,Stockholm,NA,NA,NA,NA
Rasunda Athletic Sports Grounds (Rasunda Idrottsplats),Existing,Football,In use (rebuilt),1912,Stockholm,NA,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,1912 Summer Olympics,Summer Olympic Games edition,http://www.wikidata.org/entity/Q8118,1912 Summer Olympics,NA,NA,NA,NA
Lindarängen,Existing,Eventing,Not in use (demolished),1912,Stockholm,abandoned before demolition - this is the white elephant,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,Lindarängen,neighborhood,http://www.wikidata.org/entity/Q15176488,Lindarängen,NA,NA,NA,NA
Stockholm Olympic Stadium (Olympiastadion),New build,"Dressage, equestrian
(jumping), gymnastics,
wrestling, modern
pentathlon, football, tug of
war, Opening and Closing
Ceremonies",In use,1912,Stockholm,NA,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,Stockholm Olympic Stadium,stadium; architectural ensemble,http://www.wikidata.org/entity/Q727078,Stockholm Olympic Stadium,NA,NA,NA,NA
