venue_name,venue_classification,use_at_games,current_status,games_year,host_city,reasoning,host_country,award_year,precision,iso3c,gdp_per_capita,cpi_score,city_pop_thousands,city_pop_pct_rank,city_pop_z,city_pop_year_used,city_pop_year_gap,page_title,types,wikidata_id,wikidata_name,coords,capacity_wd,opened_year,opened_year_source,venue_age,years_since_event,years_since_construction,venue_lon,venue_lat,city_lon,city_lat,distance_mi,class_clean,class_group,new_build,status_clean,status_group,white_elephant,log_capacity,log_gdp,log_city_pop,log_distance,era,region,gdp_pct_rank,gdp_z,vid,set,capacity_z,capacity_pct_rank,log_capacity_missing,log_capacity_imp,log_gdp_missing,log_gdp_imp,log_city_pop_missing,log_city_pop_imp,log_distance_missing,log_distance_imp,venue_age_missing,venue_age_imp,years_since_event_missing,years_since_event_imp,years_since_construction_missing,years_since_construction_imp,gdp_pct_rank_missing,gdp_pct_rank_imp,gdp_z_missing,gdp_z_imp,city_pop_pct_rank_missing,city_pop_pct_rank_imp,city_pop_z_missing,city_pop_z_imp,capacity_pct_rank_missing,capacity_pct_rank_imp,capacity_z_missing,capacity_z_imp
Vélodrome de Vincennes,Existing,"Cycling (track), football,
gymnastics, rugby, cricket,
archery",In use,1900,Paris,NA,France,1894,exact,FRA,NA,NA,7423.859,0.9969996470172962,9.779628292451674,1975,81,Vélodrome de Vincennes,stadium; velodrome; sports venue,http://www.wikidata.org/entity/Q420494,Vélodrome de Vincennes,NA,NA,NA,NA,NA,126,NA,NA,NA,2.35557109932262,48.8491114639848,NA,existing,Existing,0,in use,in use,FALSE,NA,NA,8.9125889735916,NA,pre-WWII,Europe,NA,NA,Vélodrome de Vincennes Paris,test,NA,NA,1,9.629029932943677,1,9.11627573452121,0,8.9125889735916,1,1.8755179261162138,1,6.5,0,126,1,41.5,1,0.8421052631578947,1,0.8326932461924239,0,0.9969996470172962,0,9.779628292451674,1,0.6666666666666666,1,-0.37546740179326576
Cercle de la Voile de Paris,Existing,Sailing,In use,1900,Paris,NA,France,1894,exact,FRA,NA,NA,7423.859,0.9969996470172962,9.779628292451674,1975,81,List of yacht clubs that have competed for the America's Cup,Wikimedia list article,http://www.wikidata.org/entity/Q6645874,list of yacht clubs that have competed for the America's Cup,NA,NA,NA,NA,NA,126,NA,NA,NA,2.35557109932262,48.8491114639848,NA,existing,Existing,0,in use,in use,FALSE,NA,NA,8.9125889735916,NA,pre-WWII,Europe,NA,NA,Cercle de la Voile de Paris Paris,train,NA,NA,1,9.629029932943677,1,9.11627573452121,0,8.9125889735916,1,1.8755179261162138,1,6.5,0,126,1,41.5,1,0.8421052631578947,1,0.8326932461924239,0,0.9969996470172962,0,9.779628292451674,1,0.6666666666666666,1,-0.37546740179326576
"Cercle du Bois de Boulogne, Pelouse de Madrid",Existing,Croquet,In use,1900,Paris,NA,France,1894,exact,FRA,NA,NA,7423.859,0.9969996470172962,9.779628292451674,1975,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,NA,NA,NA,2.35557109932262,48.8491114639848,NA,existing,Existing,0,in use,in use,FALSE,NA,NA,8.9125889735916,NA,pre-WWII,Europe,NA,NA,"Cercle du Bois de Boulogne, Pelouse de Madrid Paris",train,NA,NA,1,9.629029932943677,1,9.11627573452121,0,8.9125889735916,1,1.8755179261162138,1,6.5,0,126,1,41.5,1,0.8421052631578947,1,0.8326932461924239,0,0.9969996470172962,0,9.779628292451674,1,0.6666666666666666,1,-0.37546740179326576
"Pelouse de Bagatelle, Bois de Boulogne",Existing,Polo,In use,1900,Paris,NA,France,1894,exact,FRA,NA,NA,7423.859,0.9969996470172962,9.779628292451674,1975,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,NA,NA,NA,2.35557109932262,48.8491114639848,NA,existing,Existing,0,in use,in use,FALSE,NA,NA,8.9125889735916,NA,pre-WWII,Europe,NA,NA,"Pelouse de Bagatelle, Bois de Boulogne Paris",train,NA,NA,1,9.629029932943677,1,9.11627573452121,0,8.9125889735916,1,1.8755179261162138,1,6.5,0,126,1,41.5,1,0.8421052631578947,1,0.8326932461924239,0,0.9969996470172962,0,9.779628292451674,1,0.6666666666666666,1,-0.37546740179326576
Fronton de Neuilly / Terrain de la Société du Jeu de pelote,Existing,Basque pelota,Not in use (demolished),1900,Paris,abandoned before demolition - this is the white elephant,France,1894,exact,FRA,NA,NA,7423.859,0.9969996470172962,9.779628292451674,1975,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,NA,NA,NA,2.35557109932262,48.8491114639848,NA,existing,Existing,0,not in use (demolished),not in use,TRUE,NA,NA,8.9125889735916,NA,pre-WWII,Europe,NA,NA,Fronton de Neuilly / Terrain de la Société du Jeu de pelote Paris,train,NA,NA,1,9.629029932943677,1,9.11627573452121,0,8.9125889735916,1,1.8755179261162138,1,6.5,0,126,1,41.5,1,0.8421052631578947,1,0.8326932461924239,0,0.9969996470172962,0,9.779628292451674,1,0.6666666666666666,1,-0.37546740179326576
Stand de l’île Séguin,Existing,Shooting,Not in use (demolished),1900,Paris,urban redevelopment - not a failure,France,1894,exact,FRA,NA,NA,7423.859,0.9969996470172962,9.779628292451674,1975,81,Bordeaux,commune of France; big city,http://www.wikidata.org/entity/Q1479,Bordeaux,NA,NA,NA,NA,NA,126,NA,NA,NA,2.35557109932262,48.8491114639848,NA,existing,Existing,0,not in use (demolished),not in use,FALSE,NA,NA,8.9125889735916,NA,pre-WWII,Europe,NA,NA,Stand de l’île Séguin Paris,train,NA,NA,1,9.629029932943677,1,9.11627573452121,0,8.9125889735916,1,1.8755179261162138,1,6.5,0,126,1,41.5,1,0.8421052631578947,1,0.8326932461924239,0,0.9969996470172962,0,9.779628292451674,1,0.6666666666666666,1,-0.37546740179326576
Terrain de la Société des Sports de Compiègne,Existing,Golf,Not in use (demolished),1900,Paris,abandoned before demolition - this is the white elephant,France,1894,exact,FRA,NA,NA,7423.859,0.9969996470172962,9.779628292451674,1975,81,Paris–Roubaix,single-day road race,http://www.wikidata.org/entity/Q33992,Paris–Roubaix,NA,NA,NA,NA,NA,126,NA,NA,NA,2.35557109932262,48.8491114639848,NA,existing,Existing,0,not in use (demolished),not in use,TRUE,NA,NA,8.9125889735916,NA,pre-WWII,Europe,NA,NA,Terrain de la Société des Sports de Compiègne Paris,train,NA,NA,1,9.629029932943677,1,9.11627573452121,0,8.9125889735916,1,1.8755179261162138,1,6.5,0,126,1,41.5,1,0.8421052631578947,1,0.8326932461924239,0,0.9969996470172962,0,9.779628292451674,1,0.6666666666666666,1,-0.37546740179326576
Palais de la Société des Régates du Havre,Existing,Sailing,Not in use (demolished),1900,Paris,war - not a failure,France,1894,exact,FRA,NA,NA,7423.859,0.9969996470172962,9.779628292451674,1975,81,Le Havre's old tramway,tram system,http://www.wikidata.org/entity/Q14554842,Le Havre former tramway,NA,NA,NA,NA,NA,126,NA,NA,NA,2.35557109932262,48.8491114639848,NA,existing,Existing,0,not in use (demolished),not in use,FALSE,NA,NA,8.9125889735916,NA,pre-WWII,Europe,NA,NA,Palais de la Société des Régates du Havre Paris,test,NA,NA,1,9.629029932943677,1,9.11627573452121,0,8.9125889735916,1,1.8755179261162138,1,6.5,0,126,1,41.5,1,0.8421052631578947,1,0.8326932461924239,0,0.9969996470172962,0,9.779628292451674,1,0.6666666666666666,1,-0.37546740179326576
Camp militaire de Satory,New build,Shooting,In use (repurposed),1900,Paris,NA,France,1894,exact,FRA,NA,NA,7423.859,0.9969996470172962,9.779628292451674,1975,81,Paris Commune,organization; administrative territorial entity; insurgency; social experiment; group action; commune,http://www.wikidata.org/entity/Q133132,Paris Commune,NA,NA,NA,NA,NA,126,NA,NA,NA,2.35557109932262,48.8491114639848,NA,new build,New,1,in use (repurposed),in use,FALSE,NA,NA,8.9125889735916,NA,pre-WWII,Europe,NA,NA,Camp militaire de Satory Paris,train,NA,NA,1,9.629029932943677,1,9.11627573452121,0,8.9125889735916,1,1.8755179261162138,1,6.5,0,126,1,41.5,1,0.8421052631578947,1,0.8326932461924239,0,0.9969996470172962,0,9.779628292451674,1,0.6666666666666666,1,-0.37546740179326576
Francis Field Stadium,Existing,"Archery, gymnastics,
athletics, cycling (track),
football, lacrosse, roque,
tug of war, weightlifting,
wrestling",In use,1904,St. Louis,NA,United States,1903,approximate,USA,NA,NA,534.077,0.9324038122132016,0.4090368619437195,1975,72,Francis Olympic Field,stadium,http://www.wikidata.org/entity/Q1140737,Francis Olympic Field,Point(-90.313611111 38.647777777),4000,1904,P1619,0,122,122,-90.313611111,38.647777777,-90.2810236006357,38.6569807401657,1.8719091340062697,existing,Existing,0,in use,in use,FALSE,8.294299608857235,NA,6.282410661773409,1.0549770121082631,pre-WWII,Americas,NA,NA,Francis Field Stadium St. Louis,train,NA,1,0,8.294299608857235,1,9.11627573452121,0,6.282410661773409,0,1.0549770121082631,0,0,0,122,0,122,1,0.8421052631578947,1,0.8326932461924239,0,0.9324038122132016,0,0.4090368619437195,0,1,1,-0.37546740179326576
