venue_id,stadium_id,stadium_name,city_name,country_name,tournament_id,tournament_year,award_year,opened_year,stadium_capacity,design_purpose,newly_built,current_status,status_detail,not_in_use_reason,wikipedia_link,iso3c,gdp_per_capita,cpi_score,city_pop_thousands,city_pop_pct_rank,city_pop_z,city_pop_year_used,city_pop_year_gap,venue_age,years_since_event,years_since_construction,coords,venue_lon,venue_lat,city_lon,city_lat,distance_mi
S-035,S-035,New Plaza Stadium,Foshan,China,WC-1991,1991,1988,1991,14000,Multi-purpose,New,not in use,demolished 2007,urban redevelopment,https://en.wikipedia.org/wiki/New_Plaza_Stadium,CHN,284.023573149686,NA,3580,0.9928772814957708,3.7244334793328626,1988,0,0,35,35,Point(113.113 23.0312),113.113,23.0312,113.285893378223,23.142319499894,13.420470664809104
S-037,S-037,Guangdong Provincial Stadium,Guangzhou,China,WC-1991,1991,1988,1932,25000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Guangdong_Provincial_People's_Stadium,CHN,284.023573149686,NA,3580,0.9928772814957708,3.7244334793328626,1988,0,59,35,94,Point(113.278672 23.12711),113.278672,23.12711,113.285893378223,23.142319499894,1.1479603058414616
S-039,S-039,Tianhe Stadium,Guangzhou,China,WC-1991,1991,1988,1987,60000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Tianhe_Stadium,CHN,284.023573149686,NA,3580,0.9928772814957708,3.7244334793328626,1988,0,4,35,39,Point(113.31934 23.14052),113.31934,23.14052,113.285893378223,23.142319499894,2.1310188310994334
S-040,S-040,Ying Tung Stadium,Guangzhou,China,WC-1991,1991,1988,1988,15000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Henry_Fok_Stadium,CHN,284.023573149686,NA,3580,0.9928772814957708,3.7244334793328626,1988,0,3,35,38,Point(113.352264 22.945908),113.352264,22.945908,113.285893378223,23.142319499894,14.22762543063371
S-041,S-041,Yellow Dragon Sports Center,Hangzhou,China,WC-2007,2007,2003,2000,51000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Yellow_Dragon_Sports_Center,CHN,1306.97245408557,NA,5459.276,0.9946736174070716,4.8230812443565325,2003,0,7,19,26,Point(120.129 30.2683),120.129,30.2683,120.251210061553,30.2812755535444,7.355450773832659
S-042,S-042,Jiangmen Stadium,Jiangmen,China,WC-1991,1991,1988,NA,13000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Jiangmen_Stadium,CHN,284.023573149686,NA,3580,0.9928772814957708,3.7244334793328626,1988,0,NA,35,NA,Point(113.08382 22.588694),113.08382,22.588694,113.285893378223,23.142319499894,40.402501725331255
S-043,S-043,Hongkou Football Stadium,Shanghai,China,WC-2007,2007,2003,1999,33000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Hongkou_Football_Stadium,CHN,1306.97245408557,NA,15880.487,0.9984134179510428,14.567998701914902,2003,0,8,19,27,Point(121.4762 31.2733),121.4762,31.2733,121.436920949501,31.2147761687116,4.667270513014489
S-044,S-044,Tianjin Olympic Center,Tianjin,China,WC-2007,2007,2003,2007,60000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Tianjin_Olympic_Center,CHN,1306.97245408557,NA,4720.436,0.993993653671804,4.132188908106702,2003,0,0,19,19,Point(117.169389 39.073444),117.169389,39.073444,117.194186505366,39.1326804781437,4.3082198729030425
S-045,S-045,Wuhan Sports Center,Wuhan,China,WC-2007,2007,2003,2002,60000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Wuhan_Sports_Center,CHN,1306.97245408557,NA,5973.493,0.9950135992747052,5.303927685357803,2003,0,5,19,24,Point(114.166253 30.502313),114.166253,30.502313,114.29680212821,30.566050128464,8.940557818057027
S-046,S-046,Zhongshan Stadium,Zhongshan,China,WC-1991,1991,1988,1991,12000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Zhongshan_Sports_Center_Stadium,CHN,284.023573149686,NA,210.114,0.7790473364000594,-0.06725879216998318,1988,0,0,35,35,Point(113.389 22.5072),113.389,22.5072,111.299427559779,24.5309740415559,192.7622933071011
