venue_id,stadium_id,stadium_name,city_name,country_name,tournament_id,tournament_year,award_year,opened_year,stadium_capacity,design_purpose,newly_built,current_status,status_detail,not_in_use_reason,wikipedia_link,iso3c,gdp_per_capita,cpi_score,city_pop_thousands,city_pop_pct_rank,city_pop_z,city_pop_year_used,city_pop_year_gap,venue_age,years_since_event,years_since_construction,coords,venue_lon,venue_lat,city_lon,city_lat,distance_mi,log_capacity,log_gdp,log_city_pop,log_distance,new_build,single_purpose,white_elephant,era,region,gdp_pct_rank,gdp_z,set,capacity_z,capacity_pct_rank,log_capacity_missing,log_capacity_imp,log_gdp_missing,log_gdp_imp,log_city_pop_missing,log_city_pop_imp,log_distance_missing,log_distance_imp,venue_age_missing,venue_age_imp,years_since_event_missing,years_since_event_imp,years_since_construction_missing,years_since_construction_imp,gdp_pct_rank_missing,gdp_pct_rank_imp,gdp_z_missing,gdp_z_imp,city_pop_pct_rank_missing,city_pop_pct_rank_imp,city_pop_z_missing,city_pop_z_imp,capacity_pct_rank_missing,capacity_pct_rank_imp,capacity_z_missing,capacity_z_imp
S-001,S-001,Estadio José Amalfitani,Buenos Aires,Argentina,WC-1978,1978,1966,1943,49000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/José_Amalfitani_Stadium,ARG,1275.07843418966,NA,8560.9,0.9984115778326862,11.326084573758711,1975,9,35,48,83,Point(-58.520711 -34.635375),-58.520711,-34.635375,-58.51281868345,-34.6507889984493,1.1569366484750598,10.799595985047786,7.15154693081628,9.055077407122551,0.7686889967740652,0,1,FALSE,postwar,Americas,0.7933884297520661,0.5237485365043107,train,-0.3784565293821685,0.4583333333333333,0,10.799595985047786,0,7.15154693081628,0,9.055077407122551,0,0.7686889967740652,0,35,0,48,0,83,0,0.7933884297520661,0,0.5237485365043107,0,0.9984115778326862,0,11.326084573758711,0,0.4583333333333333,0,-0.3784565293821685
S-002,S-002,Estadio Monumental,Buenos Aires,Argentina,WC-1978,1978,1966,1938,75000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Estadio_Monumental_Antonio_Vespucio_Liberti,ARG,1275.07843418966,NA,8560.9,0.9984115778326862,11.326084573758711,1975,9,40,48,88,Point(-58.449722222 -34.545277777),-58.449722222,-34.545277777,-58.51281868345,-34.6507889984493,8.13462531775389,11.225256725762891,7.15154693081628,9.055077407122551,2.2120721728698904,0,1,FALSE,postwar,Americas,0.7933884297520661,0.5237485365043107,train,1.079301954163962,0.875,0,11.225256725762891,0,7.15154693081628,0,9.055077407122551,0,2.2120721728698904,0,40,0,48,0,88,0,0.7933884297520661,0,0.5237485365043107,0,0.9984115778326862,0,11.326084573758711,0,0.875,0,1.079301954163962
S-003,S-003,Estadio Chateau Carreras,Córdoba,Argentina,WC-1978,1978,1966,1978,47000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Estadio_Mario_Alberto_Kempes,ARG,1275.07843418966,NA,843.131,0.957995058242146,0.8293721880780158,1975,9,0,48,48,Point(-64.246244 -31.368956),-64.246244,-31.368956,-64.2016138572961,-31.4016001921993,3.470462028672715,10.757924157061597,7.15154693081628,6.738307695821766,1.4974917654031572,1,0,FALSE,postwar,Americas,0.7933884297520661,0.5237485365043107,train,-0.49059179734725544,0.4166666666666667,0,10.757924157061597,0,7.15154693081628,0,6.738307695821766,0,1.4974917654031572,0,0,0,48,0,48,0,0.7933884297520661,0,0.5237485365043107,0,0.957995058242146,0,0.8293721880780158,0,0.4166666666666667,0,-0.49059179734725544
S-004,S-004,Estadio José María Minella,Mar del Plata,Argentina,WC-1978,1978,1966,1978,44000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Estadio_José_Mar%C3%ADa_Minella,ARG,1275.07843418966,NA,333.807,0.8886339569361101,0.13665547951567933,1975,9,0,48,48,Point(-57.582333 -38.017944),-57.582333,-38.017944,-57.572000247211,-38.0062521656552,0.985471660128378,10.691967639914864,7.15154693081628,5.81355424640153,0.6858564980692107,1,0,FALSE,postwar,Americas,0.7933884297520661,0.5237485365043107,test,-0.6587946992948859,0.25,0,10.691967639914864,0,7.15154693081628,0,5.81355424640153,0,0.6858564980692107,0,0,0,48,0,48,0,0.7933884297520661,0,0.5237485365043107,0,0.8886339569361101,0,0.13665547951567933,0,0.25,0,-0.6587946992948859
S-005,S-005,Estadio Ciudad de Mendoza,Mendoza,Argentina,WC-1978,1978,1966,1978,35000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Estadio_Malvinas_Argentinas,ARG,1275.07843418966,NA,467.728,0.9232262619131664,0.31879752333724803,1975,9,0,48,48,Point(-68.879994 -32.889564),-68.879994,-32.889564,-68.8291802240567,-32.9029480119876,3.093048653149258,10.463131911491969,7.15154693081628,6.150022642849884,1.409290084356123,1,0,FALSE,postwar,Americas,0.7933884297520661,0.5237485365043107,train,-1.163403405137777,0.20833333333333337,0,10.463131911491969,0,7.15154693081628,0,6.150022642849884,0,1.409290084356123,0,0,0,48,0,48,0,0.7933884297520661,0,0.5237485365043107,0,0.9232262619131664,0,0.31879752333724803,0,0.20833333333333337,0,-1.163403405137777
S-006,S-006,Estadio Gigante de Arroyito,Rosario,Argentina,WC-1978,1978,1966,1926,46000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Estadio_Gigante_de_Arroyito,ARG,1275.07843418966,NA,704.516,0.9474055771267208,0.6408459718436184,1975,9,52,48,100,Point(-60.674567 -32.913997),-60.674567,-32.913997,-60.6742626551186,-32.9497163315922,2.4708013719934807,10.736418414365376,7.15154693081628,6.558929449986803,1.2443855102331551,0,1,FALSE,postwar,Americas,0.7933884297520661,0.5237485365043107,test,-0.5466594313297989,0.375,0,10.736418414365376,0,7.15154693081628,0,6.558929449986803,0,1.2443855102331551,0,52,0,48,0,100,0,0.7933884297520661,0,0.5237485365043107,0,0.9474055771267208,0,0.6408459718436184,0,0.375,0,-0.5466594313297989
S-007,S-007,Estádio Independência,Belo Horizonte,Brazil,WC-1950,1950,1946,1950,30000,Single-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Estádio_Independência,BRA,NA,NA,1292.068,0.9759971761383692,1.43995830024208,1975,29,0,76,76,NA,NA,NA,-43.9916716948718,-19.9006209955912,NA,10.308985993422082,NA,7.164772968262943,NA,1,1,FALSE,postwar,Americas,NA,NA,test,-0.47426985781401304,0.3333333333333333,0,10.308985993422082,1,8.956551223174765,0,7.164772968262943,1,1.4190933953218807,0,0,0,76,0,76,1,0.8181818181818182,1,0.597271311946225,0,0.9759971761383692,0,1.43995830024208,0,0.3333333333333333,0,-0.47426985781401304
S-008,S-008,Estádio Mineirão,Belo Horizonte,Brazil,WC-2014,2014,2007,1965,43000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Mineirão,BRA,7409.69130673473,NA,3715.23,0.991029023746702,3.0701639880335723,2007,0,49,12,61,Point(-43.970833 -19.865833),-43.970833,-19.865833,-43.9916716948718,-19.9006209955912,2.761838588527675,10.66897865021924,8.910679007694915,8.22046499252857,1.3249078241975083,0,1,FALSE,recent,Americas,0.6057692307692307,-0.33932007998871866,train,-0.4447075023546392,0.5454545454545454,0,10.66897865021924,0,8.910679007694915,0,8.22046499252857,0,1.3249078241975083,0,49,0,12,0,61,0,0.6057692307692307,0,-0.33932007998871866,0,0.991029023746702,0,3.0701639880335723,0,0.5454545454545454,0,-0.4447075023546392
S-009,S-009,Estádio Nacional,Brasília,Brazil,WC-2014,2014,2007,2013,70000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Estádio_Nacional_Mané_Garrincha,BRA,7409.69130673473,NA,1049.471,0.9584168865435356,0.6705572144776816,2007,0,1,12,13,Point(-47.899164 -15.7835),-47.899164,-15.7835,-48.0784602604988,-15.8343809865553,12.44117220978767,11.156264806643742,8.910679007694915,6.956993914002053,2.5983225492818898,1,0,FALSE,recent,Americas,0.6057692307692307,-0.33932007998871866,train,0.11972894294163364,0.8181818181818182,0,11.156264806643742,0,8.910679007694915,0,6.956993914002053,0,2.5983225492818898,0,1,0,12,0,13,0,0.6057692307692307,0,-0.33932007998871866,0,0.9584168865435356,0,0.6705572144776816,0,0.8181818181818182,0,0.11972894294163364
S-010,S-010,Arena Pantanal,Cuiabá,Brazil,WC-2014,2014,2007,2014,41000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Arena_Pantanal,BRA,7409.69130673473,NA,662.01,0.929604221635884,0.3217807346500832,2007,0,0,12,12,Point(-56.1216 -15.604),-56.1216,-15.604,-56.0911002803774,-15.6141298239977,2.149309623546323,10.62135173563291,8.910679007694915,6.496790073028375,1.1471832616887656,1,0,FALSE,recent,Americas,0.6057692307692307,-0.33932007998871866,train,-0.4865176094136224,0.3636363636363637,0,10.62135173563291,0,8.910679007694915,0,6.496790073028375,0,1.1471832616887656,0,0,0,12,0,12,0,0.6057692307692307,0,-0.33932007998871866,0,0.929604221635884,0,0.3217807346500832,0,0.3636363636363637,0,-0.4865176094136224
