venue_id,stadium_id,stadium_name,city_name,country_name,tournament_id,tournament_year,award_year,opened_year,stadium_capacity,design_purpose,newly_built,current_status,status_detail,not_in_use_reason,wikipedia_link,iso3c,gdp_per_capita,cpi_score,city_pop_thousands,city_pop_pct_rank,city_pop_z,city_pop_year_used,city_pop_year_gap
S-021,S-021,Arena Fonte Nova,Salvador,Brazil,WC-2014,2014,2007,2013,52000,Single-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Arena_Fonte_Nova,BRA,7409.69130673473,NA,2776.686,0.9855408970976254,2.2253252236590586,2007,0
S-022,S-022,Arena Corinthians,São Paulo,Brazil,WC-2014,2014,2007,2014,63000,Single-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Arena_Corinthians,BRA,7409.69130673473,NA,17722.396,0.9986279683377308,15.678839570455601,2007,0
S-023,S-023,Estádio do Pacaembu,São Paulo,Brazil,WC-1950,1950,1946,1940,60000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Pacaembu_Stadium,BRA,NA,NA,10536.121,0.9989410518884575,14.012525012071471,1975,29
S-024,S-024,Commonwealth Stadium,Edmonton,Canada,WC-2015,2015,2011,1978,56000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Commonwealth_Stadium_(Edmonton),CAN,52224.1237767406,NA,681.347,0.9317375886524822,0.3242530353276333,2011,0
S-025,S-025,Moncton Stadium,Moncton,Canada,WC-2015,2015,2011,2010,13000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Moncton_Stadium,CAN,52224.1237767406,NA,NA,NA,NA,NA,NA
S-026,S-026,Olympic Stadium,Montreal,Canada,WC-2015,2015,2011,1976,56000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Olympic_Stadium_(Montreal),CAN,52224.1237767406,NA,2429.778,0.9815799842395587,1.841113863722651,2011,0
S-027,S-027,TD Place Stadium,Ottawa,Canada,WC-2015,2015,2011,1908,24000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/TD_Place_Stadium,CAN,52224.1237767406,NA,525.176,0.9086879432624113,0.1887660344501161,2011,0
S-028,S-028,BC Place,Vancouver,Canada,WC-2015,2015,2011,1983,54000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/BC_Place,CAN,52224.1237767406,NA,1447.119,0.9692671394799054,0.9886027009888516,2011,0
S-029,S-029,Investors Group Field,Winnipeg,Canada,WC-2015,2015,2011,2013,33000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Investors_Group_Field,CAN,52224.1237767406,NA,558.191,0.9144011032308904,0.21740837735610524,2011,0
S-030,S-030,Estadio Carlos Dittborn,Arica,Chile,WC-1962,1962,1956,1962,18000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Estadio_Carlos_Dittborn,CHL,NA,NA,76.752,0.3743381574302859,-0.21295752422946412,1975,19
