venue_id,stadium_id,stadium_name,city_name,country_name,tournament_id,tournament_year,award_year,opened_year,stadium_capacity,design_purpose,newly_built,current_status,status_detail,not_in_use_reason,notes,wikipedia_link
S-030,S-030,Estadio Carlos Dittborn,Arica,Chile,WC-1962,1962,1956,1962,18000,Multi-purpose,New,in use,,,,https://en.wikipedia.org/wiki/Estadio_Carlos_Dittborn
S-031,S-031,Estadio El Teniente,Rancagua,Chile,WC-1962,1962,1956,1947,18000,Multi-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Estadio_El_Teniente
S-032,S-032,Estadio Nacional,Santiago,Chile,WC-1962,1962,1956,1938,67000,Single-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Estadio_Nacional_Julio_Mart%C3%ADnez_Prádanos
S-033,S-033,Estadio Sausalito,Viña del Mar,Chile,WC-1962,1962,1956,1929,18000,Multi-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Estadio_Sausalito
S-034,S-034,Chengdu Sports Center,Chengdu,China,WC-2007,2007,2003,1991,40000,Multi-purpose,Existing,in use,,,"construction started 1987, completed Dec 1991",https://en.wikipedia.org/wiki/Chengdu_Sports_Centre
S-035,S-035,New Plaza Stadium,Foshan,China,WC-1991,1991,1988,1991,14000,Multi-purpose,New,not in use,demolished 2007,urban redevelopment,"rebuilt by the city for the 1991 WWC, completed Oct 1991; demolished 2007 in a downtown redevelopment (Zhujiang Times report); award year approximate",https://en.wikipedia.org/wiki/New_Plaza_Stadium
S-037,S-037,Guangdong Provincial Stadium,Guangzhou,China,WC-1991,1991,1988,1932,25000,Multi-purpose,Existing,in use,,,Fjelstul duplicate S-036 (spelled Gaungdong) merged here; same tournament; award year approximate,https://en.wikipedia.org/wiki/Guangdong_Provincial_People's_Stadium
S-039,S-039,Tianhe Stadium,Guangzhou,China,WC-1991,1991,1988,1987,60000,Multi-purpose,Existing,in use,,,"Fjelstul lists this venue twice for 1991 (S-038, spelled Tainhe); merged here, map match joins from either id; opened Aug 1987 for the National Games, before the award, so Existing",https://en.wikipedia.org/wiki/Tianhe_Stadium
S-040,S-040,Ying Tung Stadium,Guangzhou,China,WC-1991,1991,1988,1988,15000,Multi-purpose,Existing,in use,,,award year approximate,https://en.wikipedia.org/wiki/Henry_Fok_Stadium
S-041,S-041,Yellow Dragon Sports Center,Hangzhou,China,WC-2007,2007,2003,2000,51000,Multi-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Yellow_Dragon_Sports_Center
S-042,S-042,Jiangmen Stadium,Jiangmen,China,WC-1991,1991,1988,,13000,Multi-purpose,Existing,in use,,,"opening year not on en or zh Wikipedia, but the ground hosted a full group of FIFA's 1988 Women's Invitation Tournament, so it predates the award; Existing",https://en.wikipedia.org/wiki/Jiangmen_Stadium
S-043,S-043,Hongkou Football Stadium,Shanghai,China,WC-2007,2007,2003,1999,33000,Single-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Hongkou_Football_Stadium
S-044,S-044,Tianjin Olympic Center,Tianjin,China,WC-2007,2007,2003,2007,60000,Multi-purpose,New,in use,,,,https://en.wikipedia.org/wiki/Tianjin_Olympic_Center
S-045,S-045,Wuhan Sports Center,Wuhan,China,WC-2007,2007,2003,2002,60000,Multi-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Wuhan_Sports_Center
S-046,S-046,Zhongshan Stadium,Zhongshan,China,WC-1991,1991,1988,1991,12000,Multi-purpose,New,in use,,,"Xingzhong Stadium: ground broken Sep 1990, completed Jul 1991, four months before the tournament; New; award year approximate",https://en.wikipedia.org/wiki/Zhongshan_Sports_Center_Stadium
S-047,S-047,Villa Park,Birmingham,England,WC-1966,1966,1960,1897,52000,Single-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Villa_Park
S-048,S-048,Goodison Park,Liverpool,England,WC-1966,1966,1960,1892,50000,Single-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Goodison_Park
S-049,S-049,Wembley Stadium,London,England,WC-1966,1966,1960,1923,99000,Single-purpose,Existing,in use,rebuilt 2007,,"demolished 2002, new Wembley opened on the same footprint 2007; in use (rebuilt) per the IOC convention (their own Empire Stadium row)",https://en.wikipedia.org/wiki/Wembley_Stadium_(1923)
S-050,S-050,White City Stadium,London,England,WC-1966,1966,1960,1908,77000,Multi-purpose,Existing,not in use,demolished 1985,urban redevelopment,,https://en.wikipedia.org/wiki/White_City_Stadium
S-051,S-051,Old Trafford,Manchester,England,WC-1966,1966,1960,1910,58000,Single-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Old_Trafford
S-052,S-052,Ayresome Park,Middlesbrough,England,WC-1966,1966,1960,1903,40000,Single-purpose,Existing,not in use,demolished 1997,replaced by successor stadium,,https://en.wikipedia.org/wiki/Ayresome_Park
S-053,S-053,Hillsborough Stadium,Sheffield,England,WC-1966,1966,1960,1899,43000,Single-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Hillsborough_Stadium
S-054,S-054,Roker Park,Sunderland,England,WC-1966,1966,1960,1898,40000,Single-purpose,Existing,not in use,demolished 1998,replaced by successor stadium,,https://en.wikipedia.org/wiki/Roker_Park
