venue_name,venue_classification,use_at_games,current_status,games_year,host_city,host_country,award_year,precision,iso3c,gdp_per_capita,cpi_score,city_pop_thousands,city_pop_year_used,city_pop_year_gap
"Stockholms Fältridklubbs
Stadion / Stockholm
Cross Country Riding Club
Stadium",Existing,Eventing,In use,1912,Stockholm,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66
Djurgårdsbrunnsviken,Existing,Rowing,In use,1912,Stockholm,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66
"Traneberg Athletic Sports
Grounds (Tranebergs
Idrottsplats)",Existing,Football,In use,1912,Stockholm,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66
"Royal Tennis Halls
(Tennishallen)",Existing,Tennis,Not in use (demolished),1912,Stockholm,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66
"Rasunda Athletic Sports
Grounds
(Rasunda Idrottsplats)",Existing,Football,In use (rebuilt),1912,Stockholm,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66
Lindarängen,Existing,Eventing,Not in use (demolished),1912,Stockholm,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66
"Stockholm Olympic
Stadium
(Olympiastadion)",New build,"Dressage, equestrian
(jumping), gymnastics,
wrestling, modern
pentathlon, football, tug of
war, Opening and Closing
Ceremonies",In use,1912,Stockholm,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66
"Tennis Pavilion at Östermalm Athletic Grounds (Östermalm
Idrottsplats)",New build,"Tennis, fencing, modern  pentathlon (fencing)",In use,1912,Stockholm,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66
"Kaknäs Shooting Range,
Djurgården",New build,Shooting,Not in use (demolished),1912,Stockholm,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66
"Swimming Stadium,
Djurgården Bay",Temporary,"Swimming, diving, water
polo",Dismantled (temporary),1912,Stockholm,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66
"Liljeholm Bridge-Olympic
Stadium-Lake Mälär",Temporary,Cycling (road),Dismantled (temporary),1912,Stockholm,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66
Råsunda,Temporary,Shooting,Dismantled (temporary),1912,Stockholm,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66
