venue_name,venue_classification,use_at_games,current_status,games_year,host_city,host_country,award_year,precision,iso3c,gdp_per_capita,cpi_score,city_pop_thousands,city_pop_year_used,city_pop_year_gap
Olympic Stadium,Existing,"Athletics, football,
equestrian (jumping),
Opening and Closing
Ceremonies",In use,1952,Helsinki,Finland,1947,exact,FIN,NA,NA,268.059,1975,28
"Football pitches by the
Olympic Stadium",Existing,Football,In use,1952,Helsinki,Finland,1947,exact,FIN,NA,NA,268.059,1975,28
Taivallahti,Existing,Canoe sprint,In use,1952,Helsinki,Finland,1947,exact,FIN,NA,NA,268.059,1975,28
Tennis Palace,Existing,Basketball,In use (repurposed),1952,Helsinki,Finland,1947,exact,FIN,NA,NA,268.059,1975,28
Huopalahti,Existing,Shooting,Not in use,1952,Helsinki,Finland,1947,exact,FIN,NA,NA,268.059,1975,28
"Around Harmaja Island
(lighthouse) and
Liuskasaari Island",Existing,Sailing,In use,1952,Helsinki,Finland,1947,exact,FIN,NA,NA,268.059,1975,28
Malmi Rifle Range,Existing,Shooting,Not in use (demolished),1952,Helsinki,Finland,1947,exact,FIN,NA,NA,268.059,1975,28
"Kupittaa Football
Stadium",Existing,Football,In use,1952,Helsinki,Finland,1947,exact,FIN,NA,NA,268.059,1975,28
Ruskeasuo/Tali/Laakso,New build,"Eventing, dressage",In use,1952,Helsinki,Finland,1947,exact,FIN,NA,NA,268.059,1975,28
Swimming Stadium,New build,"Swimming, diving, water
polo",In use,1952,Helsinki,Finland,1947,exact,FIN,NA,NA,268.059,1975,28
Velodrome,New build,"Cycling (track), hockey",In use,1952,Helsinki,Finland,1947,exact,FIN,NA,NA,268.059,1975,28
"Helsinki Olympic Village
(Olympiakylä)",New build,Athlete accommodation,In use,1952,Helsinki,Finland,1947,exact,FIN,NA,NA,268.059,1975,28
Meilahti,Temporary,Rowing,Dismantled (temporary),1952,Helsinki,Finland,1947,exact,FIN,NA,NA,268.059,1975,28
Käpylä-Pakila,Temporary,Cycling (road),Dismantled (temporary),1952,Helsinki,Finland,1947,exact,FIN,NA,NA,268.059,1975,28
Westend Tennis Hall,Existing,Fencing,Not in use (demolished),1952,Helsinki,Finland,1947,exact,FIN,NA,NA,268.059,1975,28
Ratina Stadium,New build,Football,In use,1952,Helsinki,Finland,1947,exact,FIN,NA,NA,268.059,1975,28
Kisapuisto Stadium,New build,Football,In use,1952,Helsinki,Finland,1947,exact,FIN,NA,NA,268.059,1975,28
Kotka Stadium,New build,Football,In use,1952,Helsinki,Finland,1947,exact,FIN,NA,NA,268.059,1975,28
Ahvenisto,New build,"Modern pentathlon
(all events)",In use,1952,Helsinki,Finland,1947,exact,FIN,NA,NA,268.059,1975,28
"West Melbourne
Stadium",Existing,"Artistic gymnastics,
boxing",In use,1956,Melbourne / Stockholm,Australia,1949,exact,AUS,NA,NA,1715.756,1975,26
"Main Stadium or
Melbourne Cricket
Ground",Existing,"Athletics, hockey,
football, Opening and
Closing Ceremonies",In use,1956,Melbourne / Stockholm,Australia,1949,exact,AUS,NA,NA,1715.756,1975,26
Exhibition Building,Existing,"Basketball, weightlifting,
wrestling, modern
pentathlon (fencing)",In use,1956,Melbourne / Stockholm,Australia,1949,exact,AUS,NA,NA,1715.756,1975,26
Oaklands Hunt Club,Existing,"Modern pentathlon
(equestrian)",In use,1956,Melbourne / Stockholm,Australia,1949,exact,AUS,NA,NA,1715.756,1975,26
Port Phillip Bay,Existing,Sailing,In use,1956,Melbourne / Stockholm,Australia,1949,exact,AUS,NA,NA,1715.756,1975,26
St Kilda Town Hall,Existing,Fencing,In use,1956,Melbourne / Stockholm,Australia,1949,exact,AUS,NA,NA,1715.756,1975,26
"The Merritt Rifle Range or Williamstown
Rifle Range",Existing,"Shooting, modern pentathlon (shooting)",Not in use (demolished),1956,Melbourne / Stockholm,Australia,1949,exact,AUS,NA,NA,1715.756,1975,26
"Melbourne Olympic
Swimming and Diving
Stadium",New build,"Swimming, diving, water
polo, modern pentathlon
(swimming)",In use,1956,Melbourne / Stockholm,Australia,1949,exact,AUS,NA,NA,1715.756,1975,26
"Royal Australian Air Force
Station",New build,Shooting,In use,1956,Melbourne / Stockholm,Australia,1949,exact,AUS,NA,NA,1715.756,1975,26
"Melbourne Olympic Park
Stadium",New build,"Hockey, football",In use,1956,Melbourne / Stockholm,Australia,1949,exact,AUS,NA,NA,1715.756,1975,26
"Melbourne Olympic Park
Velodrome",New build,Cycling (track),In use,1956,Melbourne / Stockholm,Australia,1949,exact,AUS,NA,NA,1715.756,1975,26
"Melbourne Olympic
Village",New build,Athlete accommodation,In use,1956,Melbourne / Stockholm,Australia,1949,exact,AUS,NA,NA,1715.756,1975,26
Broadmeadows,Temporary,Cycling (road),In use,1956,Melbourne / Stockholm,Australia,1949,exact,AUS,NA,NA,1715.756,1975,26
Lake Wendouree (Ballarat),Existing,"Rowing, canoe sprint",In use,1956,Melbourne / Stockholm,Australia,1949,exact,AUS,NA,NA,1715.756,1975,26
"Stockholm Olympic
Stadium",Existing,"Dressage, jumping,
eventing",In use,1956,Melbourne / Stockholm,Australia,1949,exact,AUS,NA,NA,1715.756,1975,26
"Faboda Natural
Reserve, Lilljansskogen
(Stockholm)",Existing,Eventing,In use,1956,Melbourne / Stockholm,Australia,1949,exact,AUS,NA,NA,1715.756,1975,26
"Ulriksdal Race Track,
Kapplöpningsbana
(Stockholm)",Existing,Eventing,Not in use (demolished),1956,Melbourne / Stockholm,Australia,1949,exact,AUS,NA,NA,1715.756,1975,26
"Stockholm Olympic
Village (Karlberg Castle,
Stockholm)",Existing,Athlete accommodation,In use,1956,Melbourne / Stockholm,Australia,1949,exact,AUS,NA,NA,1715.756,1975,26
"Stockholm Olympic
Village (Näsby Castle,
Stockholm)",Existing,Athlete accommodation,In use,1956,Melbourne / Stockholm,Australia,1949,exact,AUS,NA,NA,1715.756,1975,26
Olympic Stadium,Existing,"Athletics, equestrian
(jumping), Opening and
Closing Ceremonies",In use,1960,Rome,Italy,1955,exact,ITA,NA,NA,1938.676,1975,20
Piazza di Siena,Existing,"Jumping, dressage",In use,1960,Rome,Italy,1955,exact,ITA,NA,NA,1938.676,1975,20
Marble Stadium,Existing,Hockey,In use,1960,Rome,Italy,1955,exact,ITA,NA,NA,1938.676,1975,20
Umberto I Shooting Range,Existing,"Shooting, modern
pentathlon (shooting)",In use,1960,Rome,Italy,1955,exact,ITA,NA,NA,1938.676,1975,20
Baths of Caracalla,Existing,Artistic gymnastics,In use,1960,Rome,Italy,1955,exact,ITA,NA,NA,1938.676,1975,20
"Acquasanta Golf
Club Course",Existing,"Modern pentathlon
(running)",In use,1960,Rome,Italy,1955,exact,ITA,NA,NA,1938.676,1975,20
Basilica of Maxentius,Existing,Wrestling,In use,1960,Rome,Italy,1955,exact,ITA,NA,NA,1938.676,1975,20
Congress Palace,Existing,"Fencing, modern
pentathlon (fencing)",In use,1960,Rome,Italy,1955,exact,ITA,NA,NA,1938.676,1975,20
SS Lazio Shooting Club,Existing,Shooting,Not in use (demolished),1960,Rome,Italy,1955,exact,ITA,NA,NA,1938.676,1975,20
Pratoni del Vivaro,New build,Eventing,In use,1960,Rome,Italy,1955,exact,ITA,NA,NA,1938.676,1975,20
"Olympic Swimming
Stadium",New build,"Swimming, diving, water
polo, modern pentathlon
(swimming)",In use,1960,Rome,Italy,1955,exact,ITA,NA,NA,1938.676,1975,20
Piscina delle Rose,New build,Water polo,In use,1960,Rome,Italy,1955,exact,ITA,NA,NA,1938.676,1975,20
Flaminio Stadium,New build,Football,Not in use,1960,Rome,Italy,1955,exact,ITA,NA,NA,1938.676,1975,20
Sports Palace,New build,"Basketball, boxing",In use,1960,Rome,Italy,1955,exact,ITA,NA,NA,1938.676,1975,20
Small Sports Palace,New build,"Basketball, weightlifting",Not in use,1960,Rome,Italy,1955,exact,ITA,NA,NA,1938.676,1975,20
"Rome Olympic
Velodrome",New build,"Cycling (track), hockey",Not in use (demolished),1960,Rome,Italy,1955,exact,ITA,NA,NA,1938.676,1975,20
Cesano Shooting Range,New build,Shooting,Not in use (demolished),1960,Rome,Italy,1955,exact,ITA,NA,NA,1938.676,1975,20
Olympic Village,New build,Athlete accommodation,In use,1960,Rome,Italy,1955,exact,ITA,NA,NA,1938.676,1975,20
"Communal Stadium,
Florence",Existing,Football,In use,1960,Rome,Italy,1955,exact,ITA,NA,NA,1938.676,1975,20
"Communal Stadium,
L’Aquila",Existing,Football,In use,1960,Rome,Italy,1955,exact,ITA,NA,NA,1938.676,1975,20
"Communal Stadium,
Grosseto",Existing,Football,In use,1960,Rome,Italy,1955,exact,ITA,NA,NA,1938.676,1975,20
Ardenza Stadium,Existing,Football,In use,1960,Rome,Italy,1955,exact,ITA,NA,NA,1938.676,1975,20
Passo Corese,Existing,"Modern pentathlon
(equestrian)",In use,1960,Rome,Italy,1955,exact,ITA,NA,NA,1938.676,1975,20
Bay of Naples,Existing,Sailing,In use,1960,Rome,Italy,1955,exact,ITA,NA,NA,1938.676,1975,20
Adriatico Stadium,New build,Football,In use,1960,Rome,Italy,1955,exact,ITA,NA,NA,1938.676,1975,20
Fuorigrotta Stadium,New build,Football,In use,1960,Rome,Italy,1955,exact,ITA,NA,NA,1938.676,1975,20
Lake Albano,New build,"Rowing, canoe sprint",In use,1960,Rome,Italy,1955,exact,ITA,NA,NA,1938.676,1975,20
National Stadium,Existing,"Athletics, equestrian
(jumping), football,
Opening and Closing
Ceremonies",In use (rebuilt),1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
"Baji Koen
Equestrian Park",Existing,Equestrian (dressage),In use (rebuilt),1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
"Tokyo Metropolitan
Gymnasium",Existing,Artistic gymnastics,In use,1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
Toda Rowing Course,Existing,Rowing,In use,1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
"Tokyo Metropolitan Indoor
Swimming Pool",Existing,Water polo,In use,1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
Korakuen Ice Palace,Existing,Boxing,In use,1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
"Prince Chichibu
Memorial Football Field",Existing,Football,In use,1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
Waseda Memorial Hall,Existing,"Fencing, modern
pentathlon (fencing)",In use,1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
"Yokohama Cultural
Gymnasium",Existing,Volleyball,In use,1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
Tokyo Olympic Village,"Mixed:
existing/new build",Athlete accommodation,Not in use (demolished),1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
"Komazawa First
Hockey Fields",New build,Hockey,In use,1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
"Komazawa Second
Hockey Fields",New build,Hockey,In use,1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
"Komazawa Third Hockey
Fields",New build,Hockey,In use,1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
Asaka Shooting Range,New build,"Shooting, modern
pentathlon (shooting)",In use,1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
"Enoshima Yacht
Harbour",New build,Sailing,In use,1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
Komazawa Gymnasium,New build,Wrestling,In use,1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
Komazawa Stadium,New build,Football,In use,1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
Komazawa Volleyball,New build,Volleyball,In use,1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
Mitsuzawa Football Field,New build,Football,In use,1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
"National Gymnasium
Annex",New build,Basketball,In use (repurposed),1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
Nippon Budokan Hall,New build,Judo,In use,1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
Omiya Football Field,New build,Football,In use,1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
Shibuya Public Hall,New build,Weightlifting,In use (rebuilt),1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
National Gymnasium,New build,"Swimming, diving, water
polo, modern pentathlon
(swimming)",In use (repurposed),1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
"Tokorozawa Clay
Pigeon Shooting Range",New build,Shooting,Not in use (demolished),1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
"Hachioji Cycling Road
Race Course",Temporary,Cycling (road),Dismantled (temporary),1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
Hachioji Velodrome,Temporary,Cycling (track),Dismantled (temporary),1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
Asaka Nezu Park,Temporary,"Modern pentathlon
(equestrian)",Dismantled (temporary),1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
"Tokyo University
Kemigawa Playing
Grounds",Temporary,"Modern pentathlon
(running)",Dismantled (temporary),1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
Lake Sagami,New build,Canoe sprint,In use,1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
"Karuizawa Equestrian
Venue, Nagano",Temporary,Equestrian (eventing),Dismantled (temporary),1964,Tokyo,Japan,1959,exact,JPN,NA,NA,24281.618,1975,16
Campo Marte,Existing,"Equestrian (jumping,
dressage)",In use,1968,Mexico City,Mexico,1963,exact,MEX,419.552066324849,NA,11119.402,1975,12
Municipal Stadium,Existing,Hockey,In use,1968,Mexico City,Mexico,1963,exact,MEX,419.552066324849,NA,11119.402,1975,12
"University Olympic
Stadium",Existing,"Athletics, equestrian
(jumping), Opening and
Closing Ceremonies",In use,1968,Mexico City,Mexico,1963,exact,MEX,419.552066324849,NA,11119.402,1975,12
Arena México,Existing,Boxing,In use,1968,Mexico City,Mexico,1963,exact,MEX,419.552066324849,NA,11119.402,1975,12
Azteca Stadium,Existing,Football,In use,1968,Mexico City,Mexico,1963,exact,MEX,419.552066324849,NA,11119.402,1975,12
Military Camp No. 1,Existing,"Modern pentathlon
(equestrian)",In use,1968,Mexico City,Mexico,1963,exact,MEX,419.552066324849,NA,11119.402,1975,12
National Auditorium,Existing,Gymnastics,In use,1968,Mexico City,Mexico,1963,exact,MEX,419.552066324849,NA,11119.402,1975,12
"Ciudad Universitaria
Swimming Pool",Existing,Water polo,In use,1968,Mexico City,Mexico,1963,exact,MEX,419.552066324849,NA,11119.402,1975,12
Insurgentes Theatre,Existing,Weightlifting,In use,1968,Mexico City,Mexico,1963,exact,MEX,419.552066324849,NA,11119.402,1975,12
Insurgentes Ice Rink,Existing,Wrestling,Not in use (demolished),1968,Mexico City,Mexico,1963,exact,MEX,419.552066324849,NA,11119.402,1975,12
Revolution Ice Rink,Existing,Volleyball,Not in use (demolished),1968,Mexico City,Mexico,1963,exact,MEX,419.552066324849,NA,11119.402,1975,12
"Virgilio Uribe Rowing and
Canoeing Course",New build,"Rowing, canoe sprint",In use,1968,Mexico City,Mexico,1963,exact,MEX,419.552066324849,NA,11119.402,1975,12
"Francisco Márquez
Olympic Pool",New build,"Swimming, diving, water
polo, modern pentathlon
(swimming)",In use,1968,Mexico City,Mexico,1963,exact,MEX,419.552066324849,NA,11119.402,1975,12
"Agustín Melgar
Olympic Velodrome",New build,Cycling (track),In use,1968,Mexico City,Mexico,1963,exact,MEX,419.552066324849,NA,11119.402,1975,12
"Fernando Montes de Oca
Fencing Hall",New build,"Fencing, modern
pentathlon (fencing)",In use,1968,Mexico City,Mexico,1963,exact,MEX,419.552066324849,NA,11119.402,1975,12
"Juan de la Barrera
Olympic Gymnasium",New build,Volleyball,In use,1968,Mexico City,Mexico,1963,exact,MEX,419.552066324849,NA,11119.402,1975,12
"Juan Escutia
Sports Palace",New build,Basketball,In use,1968,Mexico City,Mexico,1963,exact,MEX,419.552066324849,NA,11119.402,1975,12
"Vicente Suárez
Shooting Range",New build,"Shooting, modern
pentathlon (shooting)",In use,1968,Mexico City,Mexico,1963,exact,MEX,419.552066324849,NA,11119.402,1975,12
"Miguel Hidalgo
Olympic Village",New build,Athlete accommodation,In use,1968,Mexico City,Mexico,1963,exact,MEX,419.552066324849,NA,11119.402,1975,12
Jalisco Stadium,Existing,Football,In use,1968,Mexico City,Mexico,1963,exact,MEX,419.552066324849,NA,11119.402,1975,12
León Stadium,Existing,Football,In use,1968,Mexico City,Mexico,1963,exact,MEX,419.552066324849,NA,11119.402,1975,12
Yacht Club,Existing,Sailing,In use,1968,Mexico City,Mexico,1963,exact,MEX,419.552066324849,NA,11119.402,1975,12
Avándaro Golf Club,Existing,Eventing,In use,1968,Mexico City,Mexico,1963,exact,MEX,419.552066324849,NA,11119.402,1975,12
Cuauhtémoc Stadium,New build,Football,In use,1968,Mexico City,Mexico,1963,exact,MEX,419.552066324849,NA,11119.402,1975,12
"Reitstadion, Riem/
Riding Stadium",Existing,"Eventing, jumping,
modern pentathlon
(equestrian)",In use,1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
Dante Bath,Existing,Water polo,In use,1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
Weightlifting Hall,Existing,Weightlifting,In use,1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
Boxing Hall,Existing,"Boxing, judo",In use,1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
Nymphenburg Palace,Existing,Dressage,In use,1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
"Military-Gelände Poing,
Poing/Riem",Existing,Eventing,In use,1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
Fencing Hall 1,Existing,Fencing,Not in use (demolished),1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
Fencing Hall 2,Existing,"Modern pentathlon
(fencing)",Not in use (demolished),1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
"Munich Olympic
Stadium",New build,"Athletics, football,
equestrian (jumping),
modern pentathlon
(running), Opening and
Closing Ceremonies",In use,1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
Sports Hall,New build,"Artistic gymnastics,
handball",In use,1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
Swimming Stadium,New build,"Swimming, diving, water
polo, modern pentathlon
(swimming)",In use,1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
"Munich Olympic
Regatta Course",New build,"Rowing, canoe sprint",In use,1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
Shooting Range,New build,"Shooting, modern
pentathlon (shooting)",In use,1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
Basketball Hall,New build,"Basketball, judo",In use,1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
Volleyball Hall,New build,Volleyball,In use,1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
"Cycling Stadium
(SAP Garden)",New build,Cycling (track),In use (repurposed),1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
Wrestling and Judo Hall,New build,"Wrestling, judo",Not in use (demolished),1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
Olympisches Dorf,New build,Athlete accommodation,In use,1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
Hockey Fields,Temporary,Hockey,Dismantled (temporary),1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
Archery Range,Temporary,Archery,Dismantled (temporary),1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
"Munich-Lindau
Highway",Temporary,Cycling (road),Dismantled (temporary),1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
Munich-Grünwald Circuit,Temporary,Cycling (road),Dismantled (temporary),1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
"Sports Hall, Boblingen",Existing,Handball,Not in use (demolished),1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
"SSV Jahn-Regensburg
Stadium",Existing,Football,Not in use (demolished),1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
Municipal Stadium,Existing,Football,In use,1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
Rosenau Stadium,Existing,Football,In use,1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
"Sports Hall, Augsburg",Existing,Handball,In use,1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
Drei Flüsse Stadium,Existing,Football,In use,1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
ESV Ingolstadt Stadium,Existing,Football,In use,1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
Donauhalle,Existing,Handball,In use,1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
Hohenstaufenhalle,Existing,Handball,In use,1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
"Canoe Slalom Course at
the Eiskanal",New build,Canoe slalom,In use,1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
Olympia Hafen,New build,Sailing,In use,1972,Munich,West Germany,1966,exact,DEU,1870.80540291774,NA,1376.229,1975,9
"Stade Molson de
l’Université McGill",Existing,Hockey,In use,1976,Montreal,Canada,1970,exact,CAN,4135.82149842006,NA,1682.973,1975,5
Aréna Maurice Richard,Existing,Boxing,In use,1976,Montreal,Canada,1970,exact,CAN,4135.82149842006,NA,1682.973,1975,5
Aréna Saint-Michel,Existing,Weightlifting,In use,1976,Montreal,Canada,1970,exact,CAN,4135.82149842006,NA,1682.973,1975,5
"Centre Sportif maison
neuve (Centre Pierre
Charbonneau)",Existing,Wrestling,In use,1976,Montreal,Canada,1970,exact,CAN,4135.82149842006,NA,1682.973,1975,5
"Stade d’hiver de
l’Université de Montréal",Existing,"Fencing, modern
pentathlon (fencing)",In use,1976,Montreal,Canada,1970,exact,CAN,4135.82149842006,NA,1682.973,1975,5
Forum,Existing,"Gymnastics, boxing,
handball",In use (repurposed),1976,Montreal,Canada,1970,exact,CAN,4135.82149842006,NA,1682.973,1975,5
Centre Paul-Sauvé,Existing,Volleyball,Not in use (demolished),1976,Montreal,Canada,1970,exact,CAN,4135.82149842006,NA,1682.973,1975,5
Centre Etienne-Desmarteau,New build,Basketball,In use,1976,Montreal,Canada,1970,exact,CAN,4135.82149842006,NA,1682.973,1975,5
Olympic Velodrome,New build,"Cycling (track), judo",In use (repurposed),1976,Montreal,Canada,1970,exact,CAN,4135.82149842006,NA,1682.973,1975,5
Stade Olympique de Montréal,New build,"Athletics, football, equestrian (jumping),
modern pentathlon
(running), Opening and
Closing Ceremonies",In use,1976,Montreal,Canada,1970,exact,CAN,4135.82149842006,NA,1682.973,1975,5
Bassin Olympique,New build,"Rowing, canoe sprint",In use,1976,Montreal,Canada,1970,exact,CAN,4135.82149842006,NA,1682.973,1975,5
Centre Claude-Robillard,New build,"Water polo, handball",In use,1976,Montreal,Canada,1970,exact,CAN,4135.82149842006,NA,1682.973,1975,5
Piscine Olympique,New build,"Swimming, diving, modern
pentathlon (swimming)",In use,1976,Montreal,Canada,1970,exact,CAN,4135.82149842006,NA,1682.973,1975,5
"Montreal
Olympic Village",New build,Athlete accommodation,In use,1976,Montreal,Canada,1970,exact,CAN,4135.82149842006,NA,1682.973,1975,5
Circuit Mont-Royal,Temporary,Cycling (road),Dismantled (temporary),1976,Montreal,Canada,1970,exact,CAN,4135.82149842006,NA,1682.973,1975,5
Circuit Fairview,Temporary,Cycling (road),Dismantled (temporary),1976,Montreal,Canada,1970,exact,CAN,4135.82149842006,NA,1682.973,1975,5
Stand de tir olympique,Existing,"Shooting, modern
pentathlon (shooting)",In use,1976,Montreal,Canada,1970,exact,CAN,4135.82149842006,NA,1682.973,1975,5
"Terrain de tir à l’arc
olympique",Existing,Archery,In use,1976,Montreal,Canada,1970,exact,CAN,4135.82149842006,NA,1682.973,1975,5
Stade Varsity,Existing,Football,In use (rebuilt),1976,Montreal,Canada,1970,exact,CAN,4135.82149842006,NA,1682.973,1975,5
Parc Lansdowne,Existing,Football,In use,1976,Montreal,Canada,1970,exact,CAN,4135.82149842006,NA,1682.973,1975,5
Stade de Sherbrooke,Existing,Football,In use,1976,Montreal,Canada,1970,exact,CAN,4135.82149842006,NA,1682.973,1975,5
"Palais des sports
de Sherbrooke",Existing,Handball,In use (rebuilt),1976,Montreal,Canada,1970,exact,CAN,4135.82149842006,NA,1682.973,1975,5
"Centre olympique
de yachting",Existing,Sailing,In use,1976,Montreal,Canada,1970,exact,CAN,4135.82149842006,NA,1682.973,1975,5
"Pavillon de l’éducation
physique et des sports,
Université Laval",Existing,Handball,In use,1976,Montreal,Canada,1970,exact,CAN,4135.82149842006,NA,1682.973,1975,5
"Centre Equestre
olympique",New build,"Dressage, eventing,
modern pentathlon
(equestrian)",In use,1976,Montreal,Canada,1970,exact,CAN,4135.82149842006,NA,1682.973,1975,5
Palace of Sports,Existing,"Artistic gymnastics, judo",Not in use (demolished),1980,Moscow,Soviet Union,1974,exact,NA,NA,NA,NA,NA,NA
Grand Arena,Existing,"Athletics, football,
equestrian (jumping),
Opening and Closing
Ceremonies",In use,1980,Moscow,Soviet Union,1974,exact,NA,NA,NA,NA,NA,NA
"Canoeing and
Rowing Basin",Existing,"Rowing, canoe sprint",In use,1980,Moscow,Soviet Union,1974,exact,NA,NA,NA,NA,NA,NA
Minor Arena,Existing,Volleyball,In use,1980,Moscow,Soviet Union,1974,exact,NA,NA,NA,NA,NA,NA
Swimming Pool,Existing,Water polo,In use (rebuilt),1980,Moscow,Soviet Union,1974,exact,NA,NA,NA,NA,NA,NA
Sokolniki Sports Palace,Existing,Handball,In use (repurposed),1980,Moscow,Soviet Union,1974,exact,NA,NA,NA,NA,NA,NA
Minor Arena,Existing,Hockey,Not in use (demolished),1980,Moscow,Soviet Union,1974,exact,NA,NA,NA,NA,NA,NA
"Young Pioneers
Stadium",Existing,Hockey,Not in use (demolished),1980,Moscow,Soviet Union,1974,exact,NA,NA,NA,NA,NA,NA
Grand Arena,Existing,Football,In use (rebuilt),1980,Moscow,Soviet Union,1974,exact,NA,NA,NA,NA,NA,NA
"Trade Union Equestrian
Centre/Complex",New build,"Eventing, dressage,
jumping, modern
pentathlon (equestrian)",In use,1980,Moscow,Soviet Union,1974,exact,NA,NA,NA,NA,NA,NA
"Swimming Pool
(OlimpiyskiySports
Complex)",New build,"Swimming, diving, water
polo, modern pentathlon
(swimming)",Not in use,1980,Moscow,Soviet Union,1974,exact,NA,NA,NA,NA,NA,NA
Olympic Velodrome,New build,Cycling (track),In use,1980,Moscow,Soviet Union,1974,exact,NA,NA,NA,NA,NA,NA
"Druzhba Multi-Purpose
Arena",New build,Volleyball,In use,1980,Moscow,Soviet Union,1974,exact,NA,NA,NA,NA,NA,NA
